,lamb,fun,p0,p1,p2,p3,p4,p5,p6
0,0.01,-6401.586624267892,0.000155899536,576.737903,539.955158,598.148003,2942.36751,578.731538,524.255038
1,0.012663801734674034,-6401.586623901796,0.000155898723,576.737899,539.955151,598.148015,2942.3675,578.73149,524.255134
2,0.0160371874375133,-6401.5866248363345,9.20792882e-10,576.742323,539.950406,598.147467,2942.37682,578.73335,524.256518
3,0.020309176209047358,-6401.586624818078,5.60340784e-08,576.738467,539.956506,598.145486,2942.37785,578.72642,524.262662
4,0.025719138090593445,-6401.5866247960375,1.55203144e-07,576.728972,539.960727,598.150126,2942.35596,578.733876,524.261318
5,0.03257020655659783,-6401.586624633912,2.30081832e-07,576.74222,539.961732,598.140906,2942.40616,578.741454,524.258529
6,0.04124626382901352,-6401.586624768053,3.28209881e-08,576.750093,539.954931,598.149654,2942.35558,578.737839,524.251426
7,0.052233450742668434,-6401.58662325403,0.000286944111,576.737963,539.95506,598.147833,2942.3675,578.731467,524.255086
8,0.06614740641230149,-6401.586624252519,0.000286948078,576.737955,539.955116,598.147777,2942.36747,578.73154,524.255086
9,0.08376776400682916,-6401.586624824041,0.000286886361,576.737944,539.955102,598.147678,2942.36746,578.731486,524.255096
10,0.10608183551394483,-6401.586624699664,0.000286887189,576.737952,539.955106,598.14772,2942.36753,578.731512,524.255062
11,0.13433993325989002,-6401.586623785092,0.000286886797,576.737931,539.955136,598.147694,2942.36755,578.731497,524.255117
12,0.17012542798525893,-6401.586624789505,2.52181698e-07,576.742192,539.957258,598.153968,2942.38968,578.726697,524.251185
13,0.21544346900318834,-6401.586624658896,3.35342002e-08,576.731481,539.959869,598.154143,2942.34148,578.744515,524.241934
14,0.2728333376486768,-6401.5866246036285,3.81502175e-09,576.726515,539.966428,598.134281,2942.3871,578.74007,524.244953
15,0.34551072945922184,-6401.586624781357,4.16713621e-09,576.740227,539.955572,598.160558,2942.37061,578.731527,524.248209
16,0.43754793750741844,-6401.58662400881,3.86440632e-07,576.719702,539.986959,598.173889,2942.34817,578.74699,524.254543
17,0.5541020330009492,-6401.586624631262,2.33876964e-08,576.734352,539.9396,598.158538,2942.35779,578.729362,524.266341
18,0.7017038286703826,-6401.58662481235,2.96456439e-11,576.737343,539.953155,598.144512,2942.36394,578.721074,524.25863
19,0.8886238162743403,-6401.586624858427,8.86763189e-11,576.737867,539.955907,598.147187,2942.36736,578.729659,524.254023
20,1.1253355826007645,-6401.5866248601415,3.63409918e-12,576.737514,539.954882,598.147967,2942.3662,578.731454,524.255636
21,1.4251026703029979,-6401.586624528305,5.98912385e-13,576.737553,539.957705,598.155405,2942.38234,578.701962,524.264291
22,1.8047217668271702,-6401.586624843964,1.58413801e-11,576.737276,539.95836,598.14545,2942.36021,578.734917,524.252731
23,2.2854638641349907,-6401.586624843547,1.03564309e-09,576.742929,539.954152,598.150291,2942.36249,578.73444,524.256019
24,2.8942661247167516,-6401.586622037507,3.29880215e-08,576.777598,539.934227,598.096846,2942.36048,578.749257,524.200167
25,3.665241237079626,-6401.586624840067,5.55265925e-09,576.73522,539.959856,598.148472,2942.35929,578.732097,524.252494
26,4.6415888336127775,-6401.58662482225,1.15250472e-11,576.740855,539.9528,598.143405,2942.38189,578.725694,524.251131
27,5.878016072274912,-6401.586624852706,1.41959466e-09,576.734297,539.955372,598.149485,2942.36347,578.731416,524.256067
28,7.443803013251689,-6401.586624731011,1.33473406e-08,576.732461,539.944724,598.151945,2942.38311,578.738553,524.258597
29,9.426684551178854,-6401.586624185216,2.98548904e-09,576.753175,539.946557,598.149613,2942.40314,578.691418,524.261991
30,11.937766417144358,-6401.586624544383,9.60825468e-09,576.735504,539.952988,598.125096,2942.35056,578.723976,524.269636
31,15.117750706156615,-6401.586624755786,1.23951558e-09,576.745134,539.955838,598.15859,2942.378,578.732403,524.263161
32,19.144819761699576,-6401.586624694624,6.30794543e-10,576.73581,539.965284,598.155441,2942.36555,578.733866,524.239076
33,24.244620170823282,-6401.586624631098,7.01901385e-07,576.736417,539.95332,598.15671,2942.35559,578.753678,524.246071
34,30.702906297578497,-6401.586623130823,0.000286930246,576.737822,539.955116,598.148019,2942.36712,578.7315,524.255105
35,38.88155180308085,-6401.586625534316,0.00028694443,576.737892,539.955124,598.148023,2942.36717,578.731587,524.255086
36,49.238826317067364,-6401.586627563093,0.000286948542,576.737855,539.955153,598.147946,2942.36724,578.731589,524.255027
37,62.355073412739124,-6401.593734782945,0.5395356,576.316203,540.099508,599.235085,2941.19586,579.233841,524.892937
38,78.96522868499724,-6401.594167201001,0.80061326,575.237898,538.483499,600.699666,2945.0047,578.461233,525.858915
39,100.0,-6401.587941824817,0.101921499,577.213301,538.889135,597.945317,2942.2532,579.212149,524.082042
40,0.01,-6401.586624267894,0.00015589953573184225,576.73795974,539.95510658,598.14796451,2942.36756047,578.73146393,524.25510911
41,0.01,-6401.526293824958,15.589953573184225,576.76979586,539.94778691,597.36930704,2942.36751731,578.73153462,524.25503953
42,0.01,-6401.586624267894,0.00015589953573184225,576.73795974,539.95510658,598.14796451,2942.36756047,578.73146393,524.25510911
43,0.01,-6401.463842575277,31.17990714636845,576.80131413,539.94055903,596.60007186,2942.36760074,578.73154149,524.25508629
44,0.01,-6401.586624267894,0.00015589953573184225,576.73795974,539.95510658,598.14796451,2942.36756047,578.73146393,524.25510911
45,0.01,-6401.332700465113,62.3598142927369,576.86339568,539.92630006,595.08937281,2942.36754362,578.73150416,524.2550382
46,0.01,-6401.586624267894,0.00015589953573184225,576.73795974,539.95510658,598.14796451,2942.36756047,578.73146393,524.25510911
47,0.01,-6401.046268875841,124.7196285854738,576.98375959,539.89868928,592.17340058,2942.36760828,578.73149367,524.25511332
48,0.01,-6401.586624267894,0.00015589953573184225,576.73795974,539.95510658,598.14796451,2942.36756047,578.73146393,524.25510911
49,0.01,-6400.3828086461435,249.4392571709476,577.21077153,539.84652638,586.72510922,2942.36755514,578.73149281,524.25504873
50,0.01,-6400.817498062786,170.27504769849435,577.0687075,539.87913179,590.12684534,2942.36757338,578.73150836,524.25507274
51,0.01,-6400.7673316253695,179.86090586117643,577.08629059,539.87512993,589.70470183,2942.36751619,578.73150049,524.25508642
52,0.01,-6400.764861110091,180.32957511629306,577.08712863,539.87494456,589.68418407,2942.36749554,578.73150039,524.25507899
53,0.01,-6400.764908654623,180.32055863753624,577.0871131,539.87496715,589.6845104,2942.36746947,578.73147519,524.25509216
54,0.012663801734674034,-6401.586623901796,0.00015589872333577657,576.73789918,539.95515122,598.14801478,2942.36749726,578.73148996,524.25513412
55,0.012663801734674034,-6401.487729909145,15.589872333577658,576.79880462,539.94112887,596.64431505,2942.36751231,578.73153751,524.25506228
56,0.012663801734674034,-6401.586623901796,0.00015589872333577657,576.73789918,539.95515122,598.14801478,2942.36749726,578.73148996,524.25513412
57,0.012663801734674034,-6401.382870194674,31.179744667155315,576.85873388,539.92737786,595.16717943,2942.36754427,578.73146616,524.25505428
58,0.012663801734674034,-6401.586623901796,0.00015589872333577657,576.73789918,539.95515122,598.14801478,2942.36749726,578.73148996,524.25513412
59,0.012663801734674034,-6401.155748164003,62.35948933431063,576.97609339,539.90044163,592.28944141,2942.36747233,578.73149261,524.25508674
60,0.012663801734674034,-6401.586623901796,0.00015589872333577657,576.73789918,539.95515122,598.14801478,2942.36749726,578.73148996,524.25513412
61,0.012663801734674034,-6400.635127990808,124.71897866862126,577.20113901,539.84875108,586.81911417,2942.36754423,578.73147725,524.25509421
62,0.012663801734674034,-6400.785588015979,107.71390227791568,577.1409846,539.86258139,588.27499256,2942.36750065,578.7315101,524.25507501
63,0.012663801734674034,-6400.76523234103,110.05637932162368,577.14933099,539.8606336,588.07285118,2942.36759947,578.73150688,524.25503884
64,0.012663801734674034,-6400.764861875554,110.09888490726341,577.14946304,539.86057493,588.0692273,2942.36758545,578.73145869,524.25509699
65,0.012663801734674034,-6400.764909857146,110.09337996301704,577.14943773,539.86057833,588.0696776,2942.36756249,578.73151904,524.25507374
66,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
67,0.0160371874375133,-6401.586624040003,9.207928824510992e-05,576.73796162,539.95510104,598.14797158,2942.36749958,578.7315375,524.2550762
68,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
69,0.0160371874375133,-6401.586623219504,0.00018415857649021984,576.73795257,539.9551001,598.14796889,2942.36762525,578.73148522,524.25506585
70,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
71,0.0160371874375133,-6401.586621578506,0.0003683171529804397,576.73793943,539.95511706,598.14795358,2942.36750457,578.73148188,524.2550848
72,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
73,0.0160371874375133,-6401.586618296504,0.0007366343059608794,576.73794259,539.95514966,598.1479258,2942.36755047,578.73148987,524.2550587
74,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
75,0.0160371874375133,-6401.5866117324795,0.0014732686119217587,576.73794012,539.95512084,598.14776491,2942.36749334,578.73147721,524.2550359
76,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
77,0.0160371874375133,-6401.586598604341,0.0029465372238435174,576.73795485,539.95509282,598.14754741,2942.36750954,578.7315579,524.25506642
78,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
79,0.0160371874375133,-6401.586572347718,0.005893074447687035,576.73797355,539.95513001,598.14705795,2942.3675381,578.73150972,524.25509912
80,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
81,0.0160371874375133,-6401.586519833083,0.01178614889537407,576.73801708,539.95512238,598.14601295,2942.36755555,578.73151228,524.25507287
82,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
83,0.0160371874375133,-6401.586414798244,0.02357229779074814,576.73810493,539.95506409,598.14410341,2942.36756538,578.73151907,524.25506829
84,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
85,0.0160371874375133,-6401.586204706311,0.04714459558149628,576.73824056,539.95506439,598.14012222,2942.36747871,578.73150703,524.25507634
86,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
87,0.0160371874375133,-6401.585784433418,0.09428919116299256,576.73858797,539.95498444,598.13233527,2942.36752848,578.73150454,524.25510219
88,0.0160371874375133,-6401.586624860492,9.207928824510992e-10,576.73795867,539.95509209,598.14796236,2942.36749043,578.7314962,524.25507646
89,0.0160371874375133,-6401.584943531556,0.18857838232598512,576.73917322,539.95483418,598.11654345,2942.36746536,578.73151741,524.25506754
