,lamb,fun,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,0.01,-15543.99677708379,0.000333782159,1183.50248,823.036136,870.770536,592.805532,508.903839,619.374462,3005.31428,585.512281,455.497802
1,0.012663801734674034,-15543.9967743982,0.000823177683,1183.50253,823.036101,870.770477,592.805501,508.903852,619.374425,3005.3143,585.512222,455.497815
2,0.0160371874375133,-15543.99677501548,0.000618612105,1183.50105,823.045347,870.786617,592.80201,508.892574,619.381729,3005.33323,585.515907,455.498007
3,0.020309176209047358,-15543.996774987005,0.000823092443,1183.50254,823.036106,870.770486,592.805533,508.903805,619.374324,3005.31422,585.512252,455.497751
4,0.025719138090593445,-15543.996776724925,0.000823095352,1183.50255,823.036085,870.770464,592.805499,508.903833,619.37417,3005.3143,585.512307,455.497734
5,0.03257020655659783,-15543.996779303023,0.000823211495,1183.50252,823.036094,870.770438,592.805494,508.90384,619.374048,3005.3143,585.512252,455.497762
6,0.04124626382901352,-15543.996782450957,0.000823087173,1183.50249,823.036123,870.770382,592.805528,508.903849,619.373956,3005.31436,585.512245,455.497755
7,0.052233450742668434,-15543.996788435456,0.00123912347,1183.52288,823.021206,870.748936,592.79587,508.920141,619.392875,3005.28929,585.476308,455.51144
8,0.06614740641230149,-15543.996798535198,0.00205306843,1183.54129,822.964177,870.716617,592.805545,508.923979,619.367359,3005.35891,585.449398,455.437936
9,0.08376776400682916,-15543.996807161267,0.00209931056,1183.55975,823.056903,870.796571,592.789641,508.930579,619.40116,3005.25437,585.47945,455.531198
10,0.10608183551394483,-15543.99684593443,0.00608579296,1183.42323,822.990092,870.852912,592.75269,509.048714,619.55086,3005.26739,585.554862,455.570637
11,0.13433993325989002,-15543.996820370812,0.00440790345,1183.33791,823.007249,870.735649,592.85104,508.860115,619.244183,3005.45615,585.529282,455.467658
12,0.17012542798525893,-15543.99678440795,0.000823111835,1183.50254,823.03605,870.769876,592.805422,508.903875,619.373626,3005.31434,585.51227,455.497789
13,0.21544346900318834,-15543.996775198675,0.000823072473,1183.50255,823.036108,870.769779,592.80531,508.903852,619.373739,3005.31431,585.512273,455.497793
14,0.2728333376486768,-15543.996776844055,2.73560621e-06,1183.51355,823.060121,870.746796,592.81256,508.889977,619.402957,3005.37195,585.508559,455.464879
15,0.34551072945922184,-15543.996776642558,1.18125602e-07,1183.52432,823.020284,870.775054,592.820893,508.91803,619.40893,3005.41746,585.515464,455.489238
16,0.43754793750741844,-15543.996777888236,1.92635702e-08,1183.50483,823.048801,870.777986,592.790893,508.918496,619.392176,3005.3429,585.509145,455.482746
17,0.5541020330009492,-15543.996771151638,1.04947838e-08,1183.53949,823.054108,870.716334,592.811701,508.930436,619.282488,3005.34848,585.595306,455.479898
18,0.7017038286703826,-15543.996778028071,6.03824264e-10,1183.50967,823.041724,870.786715,592.798818,508.901696,619.382604,3005.35315,585.512167,455.483657
19,0.8886238162743403,-15543.996776710414,2.21968777e-08,1183.47441,823.036824,870.757034,592.758171,508.927513,619.39698,3005.34476,585.506649,455.475288
20,1.1253355826007645,-15543.996777717784,5.26848078e-09,1183.50379,823.034468,870.776656,592.812064,508.900442,619.405453,3005.34418,585.506297,455.474557
21,1.4251026703029979,-15543.99677406362,1.3455619e-08,1183.5588,823.020232,870.724061,592.836334,508.953066,619.376899,3005.27366,585.546238,455.466898
22,1.8047217668271702,-15543.996774586536,8.86104253e-09,1183.51609,823.03654,870.730091,592.725087,508.907078,619.404331,3005.33157,585.529776,455.472804
23,2.2854638641349907,-15543.996774631245,3.6876152e-09,1183.47803,823.045938,870.761376,592.779155,508.932643,619.382634,3005.36039,585.523294,455.414275
24,2.8942661247167516,-15543.996776798183,4.3458754e-09,1183.48928,823.043758,870.83268,592.815431,508.885728,619.386066,3005.30358,585.533024,455.507123
25,3.665241237079626,-15543.9967753691,1.87757906e-07,1183.51601,822.993802,870.76696,592.756633,508.891534,619.361419,3005.41112,585.53115,455.491097
26,4.6415888336127775,-15543.99677289556,1.22778024e-07,1183.52521,822.971402,870.807714,592.7998,508.902415,619.446201,3005.31156,585.550306,455.546726
27,5.878016072274912,-15543.996776419906,8.45366921e-08,1183.49408,823.009712,870.79481,592.793323,508.903278,619.430316,3005.3138,585.485629,455.484428
28,7.443803013251689,-15543.996765171758,1.7086917e-08,1183.50344,823.150919,870.718316,592.889037,508.955959,619.415606,3005.38499,585.492439,455.464034
29,9.426684551178854,-15543.996777194097,2.53241677e-07,1183.50059,823.04954,870.798505,592.813673,508.877574,619.355681,3005.25388,585.500028,455.492281
30,11.937766417144358,-15543.99677460165,1.22972547e-09,1183.44293,823.065448,870.703213,592.795854,508.886663,619.391223,3005.3787,585.489315,455.467596
31,15.117750706156615,-15543.996775467767,3.84408806e-08,1183.55699,823.00981,870.814121,592.770125,508.915024,619.383073,3005.27575,585.512876,455.537672
32,19.144819761699576,-15543.996777276348,2.81289532e-07,1183.49494,823.048228,870.790833,592.798825,508.906705,619.415519,3005.25695,585.516834,455.490065
33,24.244620170823282,-15543.996777936496,3.37622236e-08,1183.51438,823.042467,870.768986,592.800001,508.915327,619.360786,3005.27605,585.52458,455.48485
34,30.702906297578497,-15543.996776253825,3.07767823e-07,1183.52177,823.043941,870.769032,592.810714,508.919364,619.416059,3005.22446,585.546807,455.472958
35,38.88155180308085,-15543.996777222887,7.84056422e-07,1183.50275,823.035337,870.779811,592.847344,508.89637,619.364965,3005.29384,585.487106,455.516569
36,49.238826317067364,-15543.99677472048,0.000123683096,1183.50596,823.026464,870.763224,592.795632,508.94316,619.391359,3005.28384,585.481225,455.539945
37,62.355073412739124,-15543.996773704632,0.000823094108,1183.50238,823.036126,870.770401,592.805369,508.90377,619.37449,3005.31342,585.512238,455.497823
38,78.96522868499724,-15543.996778155268,0.000823267166,1183.50233,823.036088,870.770503,592.805378,508.903827,619.374531,3005.31346,585.512276,455.497793
39,100.0,-15543.996780821324,0.000823267773,1183.50235,823.036088,870.770525,592.805435,508.903815,619.374516,3005.31349,585.512262,455.497771
40,0.01,-15543.996777083792,0.0003337821590154237,1183.50250188,823.03611264,870.77049527,592.80546989,508.90383207,619.37446244,3005.31432127,585.51223816,455.49779358
41,0.01,-15543.864926888798,33.37821590154237,1183.50291692,823.03602461,870.76420544,592.8761016,508.88744721,617.69909271,3005.31429276,585.51229049,455.49777912
42,0.01,-15543.996777083792,0.0003337821590154237,1183.50250188,823.03611264,870.77049527,592.80546989,508.90383207,619.37446244,3005.31432127,585.51223816,455.49779358
43,0.01,-15543.72505917214,66.75643180308474,1183.50327235,823.03602167,870.75782827,592.94544908,508.87135439,616.05932619,3005.31419936,585.51230976,455.49778213
44,0.01,-15543.996777083792,0.0003337821590154237,1183.50250188,823.03611264,870.77049527,592.80546989,508.90383207,619.37446244,3005.31432127,585.51223816,455.49779358
45,0.01,-15543.422111535201,133.51286360616947,1183.50398592,823.03592344,870.74518292,593.08050485,508.84003444,612.8814807,3005.31435314,585.51220514,455.49774767
46,0.01,-15543.996777083792,0.0003337821590154237,1183.50250188,823.03611264,870.77049527,592.80546989,508.90383207,619.37446244,3005.31432127,585.51223816,455.49779358
47,0.01,-15542.728765353173,267.02572721233895,1183.50551231,823.03572722,870.71984418,593.33718685,508.78049085,606.89757206,3005.31433057,585.51226074,455.4978293
48,0.01,-15543.228606972156,173.05182538731316,1183.50442095,823.03588335,870.73769198,593.15833291,508.82193647,611.05982018,3005.31432311,585.51223053,455.49782407
49,0.01,-15543.177671922236,183.12749468859354,1183.50454407,823.03583174,870.73571286,593.17786724,508.8174102,610.60246511,3005.31421861,585.51228379,455.49775198
50,0.01,-15543.175013863165,183.6497829555196,1183.50462034,823.03582084,870.73559596,593.17894497,508.81714561,610.57884428,3005.31426412,585.51226197,455.49778473
51,0.01,-15543.175060610285,183.64060046637084,1183.50457686,823.03582214,870.73559955,593.17891853,508.81717979,610.57926209,3005.31432362,585.51228,455.49781747
52,0.012663801734674034,-15543.996774398202,0.0008231776832714529,1183.50253396,823.03608602,870.77055404,592.80550792,508.90378317,619.37444918,3005.31429318,585.51223646,455.4977596
53,0.012663801734674034,-15543.529321753253,82.31776832714529,1183.50765548,823.03551394,870.68281422,593.14379877,508.82535952,611.30994043,3005.3144032,585.51229384,455.49776167
54,0.012663801734674034,-15543.996774398202,0.0008231776832714529,1183.50253396,823.03608602,870.77055404,592.80550792,508.90378317,619.37444918,3005.31429318,585.51223646,455.4977596
55,0.012663801734674034,-15542.928142412231,164.63553665429058,1183.51290545,823.03488004,870.59531581,593.4630011,508.751252,603.82024212,3005.31428121,585.51223705,455.49780507
56,0.012663801734674034,-15543.221751919264,126.6024532920838,1183.51047492,823.03521121,870.63571709,593.31781183,508.78496903,607.21412474,3005.31432907,585.51226887,455.49777308
57,0.012663801734674034,-15543.176800949888,132.656916987416,1183.51087362,823.03509984,870.62926918,593.34106568,508.77957598,606.66645141,3005.31430068,585.51227988,455.49776536
58,0.012663801734674034,-15543.175011710784,132.89601653567362,1183.51088861,823.03516978,870.62901098,593.3420764,508.77936302,606.64487648,3005.3143718,585.51229552,455.49781098
59,0.012663801734674034,-15543.175061449818,132.88937173484584,1183.51090254,823.03508783,870.62902507,593.34199192,508.77933704,606.64545421,3005.31424992,585.51233101,455.49777857
60,0.0160371874375133,-15543.996775256432,0.0006186121052926071,1183.50251955,823.03608172,870.77050688,592.80549788,508.90385739,619.37437482,3005.31423216,585.51227778,455.49778102
61,0.0160371874375133,-15543.597591506992,61.86121052926072,1183.51871247,823.03418448,870.49615081,593.24681189,508.80143759,608.72819946,3005.31435435,585.51225806,455.49772705
62,0.0160371874375133,-15543.996775256432,0.0006186121052926071,1183.50251955,823.03608172,870.77050688,592.80549788,508.90385739,619.37437482,3005.31423216,585.51227778,455.49778102
63,0.0160371874375133,-15543.03076669441,123.72242105852143,1183.53477223,823.03229208,870.22308732,593.66698506,508.70397261,598.8009702,3005.31430437,585.51229744,455.49779325
