,lamb,fun,p0,p1,p2,p3
0,0.03162277660168379,-8984.1987886875,1.87214566e-09,1200.90743,811.385424,862.880898
1,0.03665241237079628,-8984.198788687521,3.34415588e-09,1200.90766,811.385418,862.880616
2,0.042482016981626125,-8984.198788687529,5.3495042e-10,1200.90762,811.385395,862.880594
3,0.04923882631706739,-8984.198788685952,2.17586456e-10,1200.90872,811.384032,862.879115
4,0.05707031326057167,-8984.19878868752,3.67495847e-09,1200.90753,811.385431,862.880728
5,0.06614740641230149,-8984.19878868752,1.30736831e-10,1200.90764,811.385415,862.88084
6,0.07666822074546215,-8984.198788687521,1.15234999e-09,1200.9077,811.385508,862.880701
7,0.08886238162743403,-8984.198788683629,6.43578367e-10,1200.90931,811.383066,862.878469
8,0.102996036580999,-8984.198788687529,1.18773429e-09,1200.90758,811.38544,862.880648
9,0.11937766417144363,-8984.19878868743,5.90216143e-10,1200.90758,811.384976,862.880885
10,0.13836480680324595,-8984.19878868747,2.6985344e-10,1200.90796,811.385515,862.880844
11,0.160371874375133,-8984.198788687489,5.55971505e-10,1200.90731,811.385328,862.880872
12,0.18587918911465637,-8984.198788683625,9.75986646e-10,1200.90758,811.382403,862.879996
13,0.21544346900318834,-8984.198788687529,6.70508365e-10,1200.90757,811.385353,862.880611
14,0.24970997860065408,-8984.198788687529,6.14424927e-11,1200.90757,811.385408,862.880574
15,0.289426612471675,-8984.198788687516,1.23538311e-09,1200.9075,811.385489,862.880465
16,0.3354602185954043,-8984.636155964296,420.05799077,1194.26444934,812.18562099,436.01674891
17,0.3888155180308087,-8984.6763567512,184.08055329,1193.16007222,812.31842777,673.82529829
18,0.4506570337745473,-8984.704235832156,118.59874271,1192.03587374,812.45181255,741.24751792
19,0.5223345074266841,-8984.72073746154,87.74802845,1190.90354584,812.58192382,774.07674622
20,0.6054123584037269,-8984.72863956402,69.9657364,1189.75935768,812.70347839,793.8285182
21,0.7017038286703826,-8984.731495010776,58.67700773,1188.58855775,812.80816554,807.0602121
22,0.8133105582266927,-8984.732489978769,51.16964487,1187.37654733,812.88208079,816.49244244
23,0.9426684551178849,-8984.73370282469,46.08758993,1186.11662384,812.90576069,823.5041762
24,1.0926008611173779,-8984.735902531782,42.65611845,1184.81421378,812.85622835,828.89602588
25,1.2663801734674027,-8984.73875869514,40.39411098,1183.48189475,812.7122705,833.17136557
26,1.467799267622069,-8984.741244989415,38.99274681,1182.12796683,812.46104943,836.65587253
27,1.7012542798525883,-8984.742045339108,38.25481228,1180.74607105,812.10284736,839.56372505
28,1.971840556512642,-8984.739860140793,38.05879644,1179.30910091,811.65304711,842.03659447
29,2.2854638641349894,-8984.73361161765,38.33520505,1177.76975447,811.13976717,844.17107159
30,2.648969287610527,-8984.722598966757,39.05161688,1176.06711681,810.59874663,846.03556658
31,3.070290629757848,-8984.706627227853,40.20668647,1174.13429059,810.06732136,847.67934563
32,3.5586235730509657,-8984.686075611939,41.83080741,1171.9039806,809.57813889,849.13730295
33,4.124626382901348,-8984.661852215564,43.99058807,1169.31162928,809.15501593,850.43291045
34,4.78065253300738,-8984.635224079217,46.79432233,1166.29529334,808.81069114,851.58216061
35,5.541020330009492,-8984.607574938713,50.39886019,1162.79178725,808.54730279,852.59630759
36,6.422325422229356,-8984.580174492245,55.01635792,1158.73253885,808.35857407,853.48496666
37,7.443803013251681,-8984.554024399911,60.92504538,1154.03876176,808.23343554,854.25780856
38,8.627747685955866,-8984.529800627042,68.48520434,1148.61689973,808.15904805,854.92507681
39,10.0,-8984.507872921247,78.16303755,1142.35677879,808.1225262,855.49772763
40,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
41,0.03162277660168379,-8984.198788013573,0.00018721456593652952,1200.90757252,811.38537673,862.88067983
42,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
43,0.03162277660168379,-8984.198787339616,0.00037442913187305904,1200.90768018,811.38536805,862.88060305
44,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
45,0.03162277660168379,-8984.198785991697,0.0007488582637461181,1200.9075956,811.38539289,862.88062419
46,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
47,0.03162277660168379,-8984.198783295858,0.0014977165274922362,1200.90758397,811.38541156,862.8805366
48,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
49,0.03162277660168379,-8984.198777904157,0.0029954330549844723,1200.90762907,811.38538713,862.88044934
50,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
51,0.03162277660168379,-8984.19876712068,0.005990866109968945,1200.90766485,811.38542861,862.88023946
52,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
53,0.03162277660168379,-8984.198745553425,0.01198173221993789,1200.90773498,811.38537073,862.87979015
54,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
55,0.03162277660168379,-8984.198702417716,0.02396346443987578,1200.90779166,811.38535048,862.87889043
56,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
57,0.03162277660168379,-8984.198616141484,0.04792692887975156,1200.90781547,811.38535761,862.87712616
58,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
59,0.03162277660168379,-8984.198443569769,0.09585385775950311,1200.90811514,811.38535261,862.87362179
60,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
61,0.03162277660168379,-8984.198098349338,0.19170771551900623,1200.90860424,811.38527548,862.86669992
62,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
63,0.03162277660168379,-8984.197407600497,0.38341543103801246,1200.90953595,811.38519009,862.8527357
64,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
65,0.03162277660168379,-8984.1960248711,0.7668308620760249,1200.91143543,811.38493771,862.82477207
66,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
67,0.03162277660168379,-8984.193254487001,1.5336617241520498,1200.91525453,811.38448056,862.7690588
68,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
69,0.03162277660168379,-8984.187694029864,3.0673234483040996,1200.92299488,811.38355401,862.65763188
70,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
71,0.03162277660168379,-8984.17649445815,6.134646896608199,1200.9384732,811.38166192,862.43496024
72,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
73,0.03162277660168379,-8984.153781469086,12.269293793216399,1200.96910304,811.37795382,861.99091549
74,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
75,0.03162277660168379,-8984.107106342026,24.538587586432797,1201.03030194,811.37064148,861.10733086
76,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
77,0.03162277660168379,-8984.008808743398,49.077175172865594,1201.15146773,811.3560104,859.35866558
78,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
79,0.03162277660168379,-8983.79280855554,98.15435034573119,1201.38994112,811.32733328,855.9324771
80,0.03162277660168379,-8984.198788687525,1.8721456593652953e-09,1200.90757328,811.38543459,862.88064959
81,0.03162277660168379,-8983.28611733035,196.30870069146238,1201.85096349,811.27179528,849.34969205
82,0.03162277660168379,-8983.39477944801,176.75478608435967,1201.76071491,811.28267592,850.63366341
83,0.03162277660168379,-8983.377284552826,179.94942254588554,1201.77555689,811.28090257,850.42298409
84,0.03162277660168379,-8983.37702667396,179.9963746225231,1201.7757681,811.28091903,850.41983941
85,0.03162277660168379,-8983.377076106117,179.98737480379097,1201.77577489,811.28089251,850.42044208
86,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
87,0.03665241237079628,-8984.198787431349,0.00033441558788130523,1200.90765765,811.38541801,862.88061574
88,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
89,0.03665241237079628,-8984.198786175164,0.0006688311757626105,1200.90759652,811.38539212,862.88059602
90,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
91,0.03665241237079628,-8984.198783662787,0.001337662351525221,1200.90754551,811.3854127,862.88048503
92,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
93,0.03665241237079628,-8984.198778638005,0.002675324703050442,1200.90761674,811.38539661,862.88039786
94,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
95,0.03665241237079628,-8984.198768588325,0.005350649406100884,1200.90765581,811.38535812,862.87998447
96,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
97,0.03665241237079628,-8984.198748488521,0.010701298812201767,1200.90769199,811.38541447,862.87943617
98,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
99,0.03665241237079628,-8984.19870828711,0.021402597624403535,1200.90786703,811.38537982,862.87831445
100,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
101,0.03665241237079628,-8984.198627877102,0.04280519524880707,1200.90793753,811.38534786,862.87593578
102,0.03665241237079628,-8984.198788687521,3.3441558788130525e-09,1200.90765765,811.38541801,862.88061574
