,lamb,fun,p0,p1,p2,p3
0,0.03162277660168379,-9051.603728468961,8.24130008e-05,1183.50245,823.036108,870.770535
1,0.03665241237079628,-9051.603728546734,8.24133503e-05,1183.50249,823.036107,870.77054
2,0.042482016981626125,-9051.603728682921,8.24157774e-05,1183.50246,823.036078,870.770484
3,0.04923882631706739,-9051.603728874295,8.24158326e-05,1183.50258,823.03613,870.770492
4,0.05707031326057167,-9051.603729108658,8.24189135e-05,1183.50255,823.036104,870.77045
5,0.06614740641230149,-9051.99441081857,94.36368064,1185.29925342,822.82329362,838.21246719
6,0.07666822074546215,-9052.223292671493,109.1318302,1185.98913392,822.74148519,825.04980519
7,0.08886238162743403,-9052.471087346426,122.760394,1186.74698015,822.65329476,809.90323799
8,0.102996036580999,-9052.723345210054,137.27216811,1187.58411811,822.55445927,792.02427467
9,0.11937766417144363,-9052.965760933861,154.51944922,1188.50801356,822.44574426,770.26297189
10,0.13836480680324595,-9053.184455434572,176.90949042,1189.5198109,822.32631706,742.6204026
11,0.160371874375133,-9053.368056295072,208.73150941,1190.61504555,822.19652319,705.1084465
12,0.18587918911465637,-9053.510468310702,259.44974381,1191.78851209,822.05782919,648.50892382
13,0.21544346900318834,-9053.612526795816,355.50524001,1193.04168037,821.91167475,546.61295048
14,0.24970997860065408,-9051.603729226492,8.24182721e-05,1183.50253,823.036106,870.770429
15,0.289426612471675,-9051.6037287894,8.24166265e-05,1183.50255,823.036108,870.770407
16,0.3354602185954043,-9051.603728296865,8.24145394e-05,1183.50247,823.036091,870.770412
17,0.3888155180308087,-9051.603728674181,1.10016457e-11,1183.50248,823.036181,870.770394
18,0.4506570337745473,-9051.603728629434,2.29232479e-11,1183.49591,823.036216,870.760587
19,0.5223345074266841,-9051.603728673423,5.04623132e-11,1183.5024,823.037367,870.769915
20,0.6054123584037269,-9051.603728674188,3.21028017e-11,1183.50256,823.036158,870.770539
21,0.7017038286703826,-9051.603728653634,5.71966292e-11,1183.49417,823.037504,870.769233
22,0.8133105582266927,-9051.60372867418,5.95247149e-11,1183.50243,823.036056,870.770633
23,0.9426684551178849,-9051.603728672508,1.28203132e-09,1183.50401,823.036025,870.772232
24,1.0926008611173779,-9051.603728670712,8.65667633e-10,1183.50507,823.036908,870.768367
