,lamb,fun,p0,p1,p2,p3,p4,p5,p6
0,0.01,-13386.11566751912,0.0802780641,1270.3484,968.750901,1052.86528,585.191341,555.22653,566.041946
1,0.011937766417144363,-13386.116353700365,0.00177001415,1272.96537,968.452589,1051.23017,586.508445,556.377041,565.754856
2,0.014251026703029978,-13386.1156020601,0.148966052,1271.69256,967.389381,1051.43543,585.424088,556.367235,565.656722
3,0.017012542798525893,-13386.110441286708,0.528178663,1272.09785,968.187429,1050.48989,586.413469,556.569705,565.736699
4,0.020309176209047358,-13386.11614496489,0.0635761136,1272.2417,968.370837,1051.18524,586.069914,555.23729,565.809688
5,0.024244620170823284,-13386.114342207751,0.180494727,1272.22955,968.460433,1051.02074,585.067862,556.261946,565.879379
6,0.028942661247167517,-13386.11553736894,0.0790499737,1271.48671,967.778323,1052.0002,584.696367,555.907139,565.859876
7,0.0345510729459222,-13386.110360220919,0.179772164,1272.42135,966.460121,1051.05128,584.371038,556.667807,563.583499
8,0.04124626382901352,-13386.1152179319,0.0934377381,1272.25322,967.976909,1050.79387,585.661176,555.377099,565.417852
9,0.04923882631706739,-13386.115850677477,0.00195132754,1271.42587,969.634478,1052.43484,586.031076,555.155276,564.854401
10,0.05878016072274912,-13386.11609367254,0.0399666722,1271.82448,968.462909,1049.57921,585.55633,556.199373,565.956691
11,0.07017038286703829,-13386.116998659812,0.000993349218,1271.42543,967.93718,1051.81967,585.231971,555.823736,565.101488
12,0.0837677640068292,-13386.117167351484,7.37912947e-06,1272.44321,968.079098,1050.62121,585.395613,555.762558,565.483424
13,0.1,-13386.117368640756,97.43164944,1272.05260621,968.226034,954.01784141,585.4991024,555.91607021,468.35589165
14,0.1193776641714437,-13387.890249225497,367.2890119,1268.09161934,968.70276978,631.66562467,576.80533182,557.88675116,185.52446662
15,0.14251026703029984,-13387.902205038537,170.01401329,1267.45088864,968.72049592,836.83370664,575.77360074,558.1676473,386.30255268
16,0.17012542798525893,-13387.883633896503,105.81152416,1266.50894701,968.90973745,908.49902484,574.67547337,558.32076575,453.56310057
17,0.20309176209047358,-13387.835409039855,74.83728235,1265.51838841,969.09391642,946.07946877,573.87409945,558.44718682,487.41718299
18,0.24244620170823283,-13387.762336940817,56.75373924,1264.45697184,969.16845069,970.43014104,573.03631885,558.7337971,508.05099105
19,0.28942661247167517,-13387.670710389171,45.47056061,1263.67657344,969.23729315,987.10607631,572.3050335,558.92119445,521.55155429
20,0.345510729459222,-13387.565909961013,37.793147,1262.60697699,969.25988546,999.64576574,571.66643938,559.04439669,531.02585927
21,0.41246263829013524,-13387.452017982345,32.40000196,1261.67453541,969.38910454,1009.26666133,571.18465402,559.18372153,538.20308705
22,0.49238826317067413,-13387.333398008048,28.54812442,1260.77972963,969.62287256,1016.58097738,570.69651185,559.25744354,543.43306145
23,0.5878016072274915,-13387.216052766962,25.77485125,1259.85300113,969.63831079,1022.44279463,570.02479707,559.5006286,547.61410118
24,0.701703828670383,-13387.107248131018,23.77425574,1258.90534367,969.78951239,1027.22690215,569.45639692,559.51377957,550.85406943
25,0.837677640068292,-13387.013624766278,22.39121631,1258.02416661,969.81140041,1031.01359577,568.9300311,559.72146518,553.55380588
26,1.0,-13386.939411367834,21.71470005,1256.9931556,969.76984411,1034.02046863,568.08280602,559.78084934,555.41756189
27,1.1937766417144369,-13386.885918129246,21.60556111,1255.80058937,969.85872554,1036.24329608,567.09180891,559.75797263,557.00455725
28,1.4251026703029992,-13386.852202404207,22.09142472,1254.42881366,969.6884933,1038.05184212,565.69578992,559.94557506,558.1530632
29,1.7012542798525891,-13386.836064179948,23.2085885,1252.70236314,969.47789239,1039.32563255,564.05338698,559.87756337,559.05649898
30,2.030917620904737,-13386.83458236513,24.92721467,1250.69444325,969.14842178,1040.41815569,562.13610486,559.67020915,559.87860368
31,2.424462017082328,-13386.844190765214,27.42098283,1248.38792569,968.69818493,1041.13897144,559.48338006,559.59313975,560.39894044
32,2.8942661247167516,-13386.860528835983,30.67206964,1245.36992331,968.27752433,1041.9305707,556.62053488,559.42515474,561.04227932
33,3.4551072945922217,-13386.878703740294,34.95367138,1241.34882401,967.57718619,1042.41168059,553.2599633,559.133578,561.46744489
34,4.1246263829013525,-13386.893987088806,40.32478075,1236.66353215,967.00166104,1043.02793907,549.47987215,558.88153591,561.80051731
35,4.923882631706742,-13386.9028109651,47.18524424,1230.66036312,966.38276343,1043.47752636,545.2560496,558.60434314,562.16925975
36,5.878016072274912,-13386.903426144321,55.84184953,1223.45519653,965.84599023,1043.80599233,540.51988392,558.26384392,562.49598724
37,7.01703828670383,-13386.895932444348,66.95811858,1214.62282945,965.40653275,1044.1658596,535.3390053,558.01590547,562.76671899
38,8.376776400682925,-13386.881788134959,81.0244177,1204.34327914,965.11015424,1044.43036029,529.60184532,557.95103658,563.01366115
39,10.0,-13386.863087415539,99.71439607,1191.97420933,964.74105452,1044.95036978,523.08147568,557.67885019,563.27862531
40,0.01,-13386.116958090348,0.08027806410491922,1272.00737168,968.23103136,1051.51304706,585.40261801,555.93420288,565.79897626
41,0.01,-13283.913973900559,8027.806410491922,1272.02869663,968.22853372,1050.54944268,592.64735143,554.29014095,449.80763031
42,0.01,-13385.772910372101,64.72849442285501,1272.00754906,968.23103101,1051.50525529,585.54028192,555.90291775,563.27343646
43,0.01,-13385.268925711604,153.7298146010907,1272.00780799,968.23097195,1051.49449399,585.72365861,555.86122074,559.93267121
44,0.01,-13385.294708622061,149.31849810480318,1272.00777703,968.23096873,1051.49495864,585.71481416,555.86328084,560.0947575
45,0.01,-13385.293906761777,149.4559046733832,1272.00778333,968.23105896,1051.49504248,585.71505794,555.86317145,560.08969916
46,0.01,-13385.29386315067,149.46337746861786,1272.00778097,968.23095885,1051.49496723,585.71504714,555.86321816,560.08939436
47,0.011937766417144363,-13386.11736084502,0.001770014147103538,1272.00734391,968.23099956,1051.51301224,585.40246227,555.93424675,565.80207472
48,0.011937766417144363,-13384.675238698892,177.0014147103538,1272.00975946,968.23077781,1051.40259991,586.05267802,555.78643979,553.93455576
49,0.011937766417144363,-13385.338362347362,100.9847877578311,1272.00874718,968.23089934,1051.44990007,585.78181889,555.8480199,558.83881164
50,0.011937766417144363,-13385.296560849185,106.0023994082634,1272.00878714,968.23088834,1051.44681678,585.80006761,555.84383421,558.50657773
51,0.011937766417144363,-13385.29459125442,106.23798043686749,1272.00881544,968.23084421,1051.44672041,585.80099375,555.84363173,558.4909906
52,0.011937766417144363,-13385.294635671882,106.23266853784465,1272.00880161,968.2308481,1051.44667403,585.80094467,555.84364393,558.49136838
53,0.014251026703029978,-13386.11600285192,0.14896605234396842,1272.00736467,968.23100153,1051.51262051,585.40339372,555.93406574,565.78471878
54,0.014251026703029978,-12726.493131565003,14896.605234396842,1272.76591842,968.14124367,1017.41040419,604.95889064,551.50916049,306.02640755
55,0.014251026703029978,-13385.940530764383,18.71610889554745,1272.00837831,968.2308662,1051.46667618,585.51945598,555.90760659,563.62808447
56,0.014251026703029978,-13385.220482604062,86.83079823125478,1272.01210602,968.23048615,1051.29809465,585.93115435,555.81407198,556.05779501
57,0.014251026703029978,-13385.299162680094,79.89137305969776,1272.01168842,968.23049959,1051.31524993,585.89012145,555.82340872,556.80559575
58,0.014251026703029978,-13385.29387726101,80.36081748619986,1272.01169688,968.23048526,1051.31416224,585.89291573,555.8227774,556.75490481
59,0.014251026703029978,-13385.29383199901,80.36483552707517,1272.01170372,968.23051908,1051.31410004,585.89299111,555.8227463,556.75448352
60,0.017012542798525893,-13386.111338699475,0.5281786632186083,1272.00741415,968.23104631,1051.50880235,585.40741325,555.93312986,565.708788
61,0.017012542798525893,-9220.903517234874,52817.86632186083,1278.19398011,967.49946521,805.85990031,625.01047416,547.01356257,154.67333103
62,0.017012542798525893,-13385.989346177244,10.95999437163852,1272.00921421,968.23082368,1051.42701738,585.50505495,555.91099832,563.87712024
63,0.017012542798525893,-13385.189556440659,70.8074669795599,1272.01931431,968.22966335,1050.9582603,586.04848992,555.78741125,553.81430985
64,0.017012542798525893,-13385.29766166141,63.390202738231714,1272.01804368,968.22974797,1051.01633153,585.98259404,555.80237889,555.02195034
65,0.017012542798525893,-13385.288773839975,64.00649718007107,1272.01819775,968.22970932,1051.01159441,585.98810222,555.80110665,554.92116339
66,0.017012542798525893,-13385.288679285466,64.01304732622106,1272.01821773,968.22974492,1051.01154064,585.98816968,555.80109336,554.92012156
67,0.017012542798525893,-13385.288725488665,64.00984667385374,1272.01820359,968.22980124,1051.01157722,585.98811032,555.80114436,554.92061187
68,0.020309176209047358,-13386.116501707838,0.06357611360368076,1272.00741488,968.23101734,1051.51161123,585.40325445,555.93406012,565.78638128
69,0.020309176209047358,-12878.142395176172,6357.611360368076,1274.52362323,967.9333862,940.61400025,612.01128187,549.92334272,238.30670754
70,0.020309176209047358,-13385.971295258529,10.352799767763436,1272.01193266,968.23050482,1051.30015119,585.53733518,555.90357924,563.2422058
71,0.020309176209047358,-13385.195581748434,57.95856245407694,1272.03258026,968.22808617,1050.32316848,586.1422374,555.76608768,551.93249446
72,0.020309176209047358,-13385.303645895323,51.89510319688435,1272.03002959,968.22832477,1050.44749834,586.06656617,555.7833148,553.33233801
73,0.020309176209047358,-13385.294486832276,52.41484450702494,1272.03027287,968.2283312,1050.43677807,586.07303119,555.78182034,553.21185753
74,0.020309176209047358,-13385.294382963351,52.42073231847377,1272.03032588,968.22836115,1050.43663361,586.07311518,555.78182113,553.21051475
75,0.020309176209047358,-13385.294429202278,52.418111281856845,1272.03026617,968.22829997,1050.43670983,586.07305905,555.78182884,553.21115844
76,0.024244620170823284,-13386.114488013154,0.1804947272894143,1272.00760794,968.23099566,1051.50470809,585.40550768,555.93356069,565.74236416
77,0.024244620170823284,-10976.779119688214,18049.47272894143,1284.28640139,966.77993623,611.15407032,641.29394182,543.39220998,54.96089316
