,lamb,fun,p0,p1,p2,p3
0,0.01,-4292.368704271752,0.0367816275,585.514165,556.240903,565.88574
1,0.011937766417144363,-4292.3668382324595,0.0754191863,585.21277,557.301177,564.395925
2,0.014251026703029978,-4292.3664468943,0.0994515144,584.945769,555.13961,564.055561
3,0.017012542798525893,-4292.367523626974,0.0270678021,584.92586,554.551107,565.691886
4,0.020309176209047358,-4292.364061327688,0.203191995,585.736217,553.59334,565.847859
5,0.024244620170823284,-4292.365842770074,0.123513466,583.696277,555.528511,565.887344
6,0.028942661247167517,-4292.357168757007,0.79831191,585.75153482,555.9325618,565.38183471
7,0.0345510729459222,-4292.365529016071,0.0811174696,586.853717,556.459538,564.049596
8,0.04124626382901352,-4292.366810163276,0.0299777168,586.076205,557.124458,564.445894
9,0.04923882631706739,-4292.368082507626,0.0238216823,585.125109,555.109585,566.292096
10,0.05878016072274912,-4292.368500617945,0.0270014941,585.38125,556.295502,565.881801
11,0.07017038286703829,-4292.3686031081,0.0217996777,585.868684,555.814485,565.553089
12,0.0837677640068292,-4292.3688543760645,0.000348831582,585.101778,555.713001,565.595631
13,0.1,-4292.368951818106,13.32658566,585.39176756,555.93622103,552.48884478
14,0.1193776641714437,-4294.203946638025,444.64076989,575.26966864,558.22807882,106.39983347
15,0.14251026703029984,-4294.334267992424,219.63341331,573.4219644,558.69034339,335.22181872
16,0.17012542798525893,-4294.403696662362,143.88035884,571.61334536,559.07991326,414.73187054
17,0.20309176209047358,-4294.39393041669,105.24091683,570.01933687,559.42556301,456.95967444
18,0.24244620170823283,-4294.299554266407,81.36301556,568.70248373,559.75439545,484.14966599
19,0.28942661247167517,-4294.129781852573,64.96061248,567.71508759,559.95416023,503.43313133
20,0.345510729459222,-4293.904610217399,52.91877454,567.15448208,560.07911593,517.86426745
21,0.41246263829013524,-4293.64889755177,43.67428956,566.95252075,560.16600308,529.02890331
22,0.49238826317067413,-4293.387294142484,36.31467472,567.16714584,560.10555069,537.71053874
23,0.5878016072274915,-4293.140747572721,30.2958434,567.73842783,559.9712627,544.5688682
24,0.701703828670383,-4292.924405039026,25.21427628,568.68871026,559.71424196,550.01969987
25,0.837677640068292,-4292.746778270844,20.91236079,569.95818313,559.38346025,554.27048711
26,1.0,-4292.610149034131,17.1543757,571.54925737,558.97376671,557.57889512
27,1.1937766417144369,-4292.5119135386285,13.82336973,573.41095152,558.47321638,560.14419199
28,1.4251026703029992,-4292.446318555636,10.84743224,575.46627382,557.89523244,562.04616559
29,1.7012542798525891,-4292.406113839701,8.1653194,577.67794565,557.31012722,563.41093864
30,2.030917620904737,-4292.383939917136,5.73322595,579.85205056,556.82060275,564.41716532
31,2.424462017082328,-4292.373368374791,3.46619951,582.04628064,556.42614302,565.11790218
32,2.8942661247167516,-4292.369496480683,1.43748221,584.03206401,556.10618181,565.57526598
33,3.4551072945922217,-4292.368947608534,0.00361999103,585.34644,555.996612,565.751375
34,4.1246263829013525,-4292.368934384191,0.00383427962,585.459845,555.870753,565.975154
35,4.923882631706742,-4292.3689384828385,0.000130289434,585.227605,555.930698,565.842023
36,5.878016072274912,-4292.368926482243,0.0111018539,585.326813,555.916115,565.625705
37,7.01703828670383,-4292.3689152103625,0.000982034855,585.250153,556.203213,565.85885
38,8.376776400682925,-4292.368937698905,0.00119756158,585.229945,556.031455,565.811568
39,10.0,-4292.368949658896,0.000752563114,585.341419,555.943238,565.836608
40,0.01,-4255.246640643072,3678.1627456204615,590.05312726,554.87819489,487.72674077
41,0.01,-4291.93870345284,81.46438696024072,585.57534744,555.89497106,562.63356585
42,0.01,-4291.53010120817,154.14146657453819,585.72451478,555.86105219,559.91758393
43,0.01,-4291.547389785698,151.14598787929006,585.71852219,555.86240303,560.02755391
44,0.01,-4291.54694275012,151.22352569230796,585.71865276,555.86242384,560.02472033
