,lamb,fun,p0,p1,p2,p3
0,0.03162277660168379,-9046.228247925854,0.0929241529,1284.17197,1000.80368,932.221946
1,0.03665241237079628,-9046.228536134111,2.51135006e-05,1284.46701,1000.91946,932.437821
2,0.042482016981626125,-9046.228648594628,0.00541814669,1284.36771,1000.58253,932.036093
3,0.04923882631706739,-9046.228693773885,0.000318484427,1284.55996,1000.02524,932.032429
4,0.05707031326057167,-9046.228695576994,0.00171489549,1284.45937,1000.32476,931.88395
5,0.06614740641230149,-9046.228680170992,0.00028476457,1284.81464,1000.25177,932.071655
6,0.07666822074546215,-9046.228682204845,0.0146168965,1284.53721,1000.40613,931.943895
7,0.08886238162743403,-9046.228694338148,1.44005378e-05,1284.42938,1000.04117,932.000939
8,0.102996036580999,-9046.237179770233,80.85005915,1284.48472691,1000.38381228,849.41195417
9,0.11937766417144363,-9046.27674099769,94.1128291,1283.26669149,1000.37891928,824.83750887
10,0.13836480680324595,-9046.308469526262,66.88070493,1282.54830868,1000.44377812,849.1245952
11,0.160371874375133,-9046.362454279591,53.65516538,1281.57697308,1000.59576581,861.40078851
12,0.18587918911465637,-9046.44363173909,47.90693798,1280.37086673,1000.77362211,866.44541533
13,0.21544346900318834,-9046.5525013906,44.72083721,1278.87371768,1000.91048543,869.53292926
14,0.24970997860065408,-9046.684449326798,42.61119405,1277.16995472,1001.15934138,872.49953096
15,0.289426612471675,-9046.829444088962,41.08491062,1275.26692715,1001.34078184,875.38037659
16,0.3354602185954043,-9046.973149247046,39.6474881,1273.42281914,1001.56885166,878.90311698
17,0.3888155180308087,-9047.099492523335,38.30584128,1271.60974997,1001.84276738,882.82775726
18,0.4506570337745473,-9047.194023163564,36.82920226,1269.86435402,1001.98877155,887.20263706
19,0.5223345074266841,-9047.246846539387,35.29156927,1268.35187193,1002.19087343,891.74975081
20,0.6054123584037269,-9047.254254935442,33.65082959,1267.13240611,1002.26761757,896.37448881
21,0.7017038286703826,-9047.21864770553,31.88505082,1266.15565386,1002.35588205,900.99549722
22,0.8133105582266927,-9047.147138611203,30.14889248,1265.57145463,1002.40100647,905.22158824
23,0.9426684551178849,-9047.049563548348,28.2921761,1265.2976979,1002.4277696,909.20362348
24,1.0926008611173779,-9046.936585772175,26.44561354,1265.33451245,1002.22476894,912.91188728
25,1.2663801734674027,-9046.818274171543,24.55287865,1265.81631738,1001.9904525,916.15527116
26,1.467799267622069,-9046.703238568582,22.66671732,1266.5556138,1001.74117694,919.10475736
27,1.7012542798525883,-9046.59817702425,20.78761952,1267.61520436,1001.30184687,921.54748075
28,1.971840556512642,-9046.50760582148,18.88716349,1268.91519176,1000.94159496,923.70835824
29,2.2854638641349894,-9046.433801503914,17.2275034,1270.00251266,1000.58152644,925.44405869
30,2.648969287610527,-9046.376905875073,15.64520648,1271.24628652,1000.32775147,926.88630833
31,3.070290629757848,-9046.335362089072,14.43822315,1272.0890936,1000.10028837,927.99382048
32,3.5586235730509657,-9046.306585521792,13.50449448,1272.9009022,999.94255813,928.80353632
33,4.124626382901348,-9046.28765088456,12.9919749,1273.33068024,999.75315375,929.37353006
34,4.78065253300738,-9046.275886998497,13.11197455,1273.13266256,999.67075309,929.82175064
35,5.541020330009492,-9046.269172215852,13.73581055,1272.63795451,999.66494898,930.04019087
36,6.422325422229356,-9046.2659637064,15.1460032,1271.50012184,999.6042548,930.3547122
37,7.443803013251681,-9046.26521836963,17.48688554,1269.78273179,999.46529551,930.39756439
