,lamb,fun,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,0.01,-15572.004792765232,72.23870908,1266.81172459,985.01148993,1019.54456052,615.14569382,536.08373081,548.81029448,2895.20612785,660.34773192,489.15842055
1,0.012663801734674034,-15572.071333959715,90.29355398,1267.30075908,984.99527005,1019.01968819,615.25610212,535.85099393,543.36255841,2895.0225961,660.19113802,489.27146326
2,0.0160371874375133,-15572.128076398418,75.59473468,1267.26468267,984.92762982,1018.78272943,615.54065132,535.78212008,539.06828547,2894.90824232,660.40309025,489.34918227
3,0.020309176209047358,-15572.179571109707,66.13099103,1267.26162813,985.06960672,1018.12101477,615.57282602,535.81859623,534.36463831,2894.97112914,660.28691881,489.32165553
4,0.025719138090593445,-15572.252585179283,65.13474999,1267.19232124,985.1349299,1015.55665417,615.83431958,535.65301124,526.97110914,2894.96303771,660.40040646,489.3309433
5,0.03257020655659783,-15572.388520991004,73.46648767,1267.51374759,985.1081011,1009.36330035,616.25102632,535.5767378,514.56817739,2894.96513259,660.43720545,489.3130311
6,0.04124626382901352,-15572.638770364309,94.27083341,1267.50880047,984.96729019,995.19896032,616.85992271,535.48398744,492.16708874,2894.98150727,660.46379746,489.40752916
7,0.052233450742668434,-15573.04488300171,134.03523024,1268.10476423,984.94165185,963.02263137,617.83296196,535.32793951,451.06352427,2895.02711512,660.3667729,489.38356654
8,0.06614740641230149,-15573.595760200486,215.19928054,1268.83862926,984.8409332,885.36624625,619.22286943,534.95862292,367.05787496,2894.96111078,660.42108358,489.44053242
9,0.08376776400682916,-15574.191735538563,497.81251828,1270.04625896,984.74581277,601.37052531,620.84282519,534.55336701,80.00436289,2895.11542995,660.41937953,489.32335038
10,0.10608183551394483,-15571.973288568544,0.00219625069,1267.40394,985.240737,1018.79152,614.788945,535.675216,552.15489,2894.91012,660.701021,489.321103
11,0.13433993325989002,-15571.970986200977,0.0451527946,1268.20727,985.872385,1018.74643,614.162919,536.707122,552.102283,2897.14835,660.063163,489.528458
12,0.17012542798525893,-15571.966899742023,0.0527629474,1267.77387,984.849325,1016.25498,613.418419,535.760875,551.41881,2890.81996,661.478687,489.382119
13,0.21544346900318834,-15571.952986215947,0.0182497768,1271.66174,983.693664,1018.6268,612.65708,534.171165,548.993983,2892.29608,661.154098,492.318596
14,0.2728333376486768,-15571.965174949735,0.0626011594,1265.86968,986.459516,1017.95548,614.303229,536.200888,552.12734,2894.16146,659.688471,489.693977
15,0.34551072945922184,-15571.858001377754,0.695233588,1266.37522,985.650459,1028.59796,614.786762,535.928075,551.686022,2892.90122,662.895556,488.75087
16,0.43754793750741844,-15508.347752700327,1.82283096,1339.1721,1120.41234,938.709478,689.962321,631.226419,562.429562,2241.0131,789.3406,672.279531
17,0.5541020330009492,-15571.944466349627,0.0665181063,1268.00693,990.348266,1016.83509,613.694169,536.460403,550.993112,2894.09708,657.608904,489.536701
18,0.7017038286703826,-15571.956723669806,0.05619744,1265.29574,985.930632,1019.02676,612.641966,536.631407,553.217786,2895.42878,660.597121,489.727155
19,0.8886238162743403,-15571.929883061235,0.107185395,1266.12429,983.846309,1024.82858,614.676304,539.530639,552.922177,2898.26009,663.847951,489.264191
20,1.1253355826007645,-15571.929741545719,0.167383876,1266.59865,984.030265,1017.92399,614.653757,537.45162,553.012551,2895.02722,661.221408,489.640591
21,1.4251026703029979,-15512.703903555175,0.65400293,1361.52209,1149.81496,957.119731,680.7164,639.427595,557.303565,2345.52398,809.324292,691.048903
22,1.8047217668271702,-15571.967642482121,0.0257153328,1266.30779,985.458402,1018.254,614.677377,535.384969,552.304321,2891.66129,661.034738,488.391857
23,2.2854638641349907,-15571.972568089846,0.00366981099,1266.46675,984.94521,1018.36383,614.312258,536.044026,552.003176,2895.04512,659.873856,489.706756
24,2.8942661247167516,-15571.97323377878,3.49227385e-05,1267.13289,985.529268,1018.80453,614.551466,535.833977,552.149083,2894.4923,660.423057,489.549989
25,3.665241237079626,-15572.036024786665,2.26514332,1265.22128,985.079729,1018.75938,612.589034,536.21187,552.242403,2892.98276,660.540755,489.422045
26,4.6415888336127775,-15572.161185352019,3.98954237,1263.73443509,984.86352784,1018.60494292,611.19440478,536.16256011,552.32632304,2890.94818173,660.65761726,489.56527459
27,5.878016072274912,-15572.28268737874,5.33122803,1262.73982589,984.78805591,1018.62390792,610.31397944,536.22913462,552.27780368,2889.52653838,660.77794647,489.57635924
28,7.443803013251689,-15572.387702417573,6.61277321,1261.65274742,984.84642115,1018.78499421,609.83877343,536.16348981,552.41383156,2888.30213617,660.85410852,489.64731745
29,9.426684551178854,-15572.483655940763,8.08425847,1260.66192446,984.88624324,1018.60868414,609.50332164,536.10392091,552.41533246,2886.38988065,660.88596688,489.76027851
30,11.937766417144358,-15572.580500623659,9.95798878,1259.66218205,984.70386687,1018.77650342,609.10031804,536.10437361,552.37971348,2884.09681416,661.29256702,489.87964383
31,15.117750706156615,-15572.683643734723,12.38490073,1258.65778612,984.7774745,1018.77136477,608.83569775,536.05186269,552.39500305,2881.97679076,661.28166171,489.90380128
32,19.144819761699576,-15572.792908937812,15.52780993,1257.43771141,984.77139981,1018.8198621,608.50567374,536.0856632,552.51165566,2877.80999448,661.6444255,490.16769424
33,24.244620170823282,-15572.904538593699,19.50186161,1256.66237947,984.89612179,1018.92334763,608.15412153,536.06038842,552.47406124,2873.45315242,661.82380408,490.28408842
34,30.702906297578497,-15573.014980760745,24.57626565,1255.67542649,984.88054597,1018.92532496,607.94744432,535.97601618,552.36981699,2867.34598154,662.31932799,490.65809565
35,38.88155180308085,-15573.123714228092,30.99787412,1254.95687329,984.95378813,1018.92324685,607.75931169,535.82571901,552.40295553,2860.1261213,662.70206944,491.03432998
36,49.238826317067364,-15573.232479132836,39.35471541,1254.31932243,984.96770035,1019.29708094,607.518948,536.07463465,552.41695358,2850.99225324,662.94891328,491.34619174
37,62.355073412739124,-15573.33894301895,50.06164817,1253.56743417,984.91358211,1019.03497405,607.39398428,535.90297657,552.46658656,2840.42660097,662.91657282,491.47399021
38,78.96522868499724,-15573.428108762413,63.70711464,1253.06551775,984.97467126,1018.99572959,607.15269891,535.97505297,552.54547237,2827.71585404,662.2277618,491.13090619
39,100.0,-15573.467929336435,79.61709512,1252.89322851,984.94066433,1019.33598488,607.25393699,535.92361113,552.50537406,2814.734233,661.25475318,489.94941483
40,0.01,-15572.004884995527,72.23870907570459,1267.16535673,985.06203901,1019.21333082,615.01961999,535.905449,548.82362506,2894.91345838,660.35526935,489.32341774
41,0.01,144827.39813543746,7223870.907570459,1273.31156715,984.32610964,761.116352,649.64122817,528.11977837,110.64352566,2894.91387542,660.35527306,489.32345699
42,0.01,-15572.005123674695,109.25199829629,1267.16542025,985.06208478,1019.20867383,615.08998737,535.88958417,547.00110561,2894.91352863,660.35524759,489.32339552
43,0.01,64257.16701624015,3611990.079784378,1271.52902321,984.53952445,827.64749543,645.32443205,529.08424691,138.68622381,2894.91332515,660.35539511,489.3234671
44,0.01,-15571.994967559396,146.44769429001823,1267.16553292,985.06206817,1019.20380066,615.15929391,535.87381944,545.21451207,2894.91363447,660.35533907,489.32341997
45,0.01,-15551.978238356107,3117.6339794397054,1267.17324329,985.06116845,1018.82384823,618.4184543,535.13597558,468.98602706,2894.91363348,660.3553219,489.32342469
46,0.01,-15571.894052369487,266.9676575031883,1267.16586508,985.06200344,1019.18836433,615.37456748,535.8250655,539.71219282,2894.91368936,660.35534624,489.32340338
47,0.01,-15569.84702739747,921.2290228698868,1267.16749581,985.06187052,1019.10464999,616.35132296,535.60386577,515.62854871,2894.91361883,660.35527511,489.32338934
48,0.01,-15571.446973696202,494.221341246441,1267.16642624,985.06194821,1019.15929454,615.74662453,535.74078469,530.37006266,2894.91366031,660.35531183,489.32343378
49,0.01,-15571.148111798648,596.3098150468227,1267.16672358,985.0619487,1019.14623463,615.90137505,535.70575393,526.54742389,2894.91366623,660.35529052,489.32345171
50,0.01,-15571.18594252171,584.381817418258,1267.16663536,985.06192483,1019.14773379,615.88359642,535.70976802,526.98339415,2894.91364937,660.35532169,489.32341359
51,0.01,-15571.183057580589,585.2998919764333,1267.16669473,985.06188864,1019.14764262,615.88498465,535.7094254,526.94967935,2894.9135424,660.35531619,489.32343001
52,0.01,-15571.182965545064,585.3291569710331,1267.16669395,985.061868,1019.1476662,615.88507411,535.70939643,526.94862654,2894.91350509,660.35532511,489.32341497
53,0.012663801734674034,-15572.07135019475,90.29355398453927,1267.16706131,985.06183707,1019.12711553,615.227411,535.85842194,543.35083943,2894.91364595,660.35527208,489.32339168
54,0.012663801734674034,388146.31456925516,9029355.398453927,1284.46827,982.992371,442.783999,675.469158,522.384464,1.51501925,2894.91389,660.355208,489.323502
55,0.012663801734674034,-15572.06775331909,108.67283469198324,1267.16741299,985.06185845,1019.10769446,615.29547769,535.84296776,541.58684913,2894.91353434,660.35539675,489.32347627
56,0.012663801734674034,-15489.706992427196,4287.473213463106,1267.25492104,985.05134305,1014.74336487,622.18722569,534.28404065,394.46268192,2894.91362619,660.3553002,489.3233956
57,0.012663801734674034,-15572.032054960939,150.1855227419126,1267.16831829,985.06168305,1019.06374837,615.44586906,535.80889211,537.71853806,2894.91358466,660.35530044,489.32342913
58,0.012663801734674034,-15566.39493294807,896.0695247176889,1267.18403827,985.05986171,1018.27720889,617.55957176,535.33032067,486.88031825,2894.91360826,660.35531508,489.32341109
59,0.012663801734674034,-15571.786447958952,253.72089967685693,1267.1705094,985.06145684,1018.95444972,615.80157692,535.72832896,528.70941448,2894.91360861,660.35529843,489.32339434
60,0.012663801734674034,-15570.966889269273,421.07598644019197,1267.17404323,985.06099524,1018.77771003,616.3257006,535.60963007,515.78082982,2894.91355531,660.35533137,489.32344921
61,0.012663801734674034,-15571.304271466375,363.35176634324654,1267.17279238,985.06123377,1018.83858334,616.15139328,535.64911128,520.03634126,2894.91353701,660.3553171,489.32336934
62,0.012663801734674034,-15571.253328346836,372.71054813069605,1267.17297406,985.06117941,1018.82876159,616.1800483,535.64261904,519.33265022,2894.913643,660.35532059,489.32342795
63,0.012663801734674034,-15571.249567218805,373.39092779029056,1267.17302167,985.06118085,1018.82796688,616.18212704,535.64210979,519.28177245,2894.9135519,660.35531795,489.32337384
64,0.012663801734674034,-15571.249670527564,373.37225824390003,1267.17305302,985.06114192,1018.82797522,616.18209862,535.64213036,519.28311493,2894.91359065,660.35535031,489.32337023
65,0.0160371874375133,-15572.12809630009,75.59473468337468,1267.17346473,985.06110141,1018.79927064,615.38134066,535.8235313,539.14154191,2894.91358955,660.35531649,489.3233889
66,0.0160371874375133,582035.0690794465,7559473.468337468,1316.84657,992.298374,196.953602,643.966258,492.380996,0.287990409,2886.93122,767.088335,538.977551
67,0.0160371874375133,-15572.125616346995,85.98981758971259,1267.17462574,985.06097098,1018.74113751,615.44790217,535.80849222,537.40466035,2894.91357783,660.35525575,489.32339169
68,0.0160371874375133,-15449.909200135586,3518.653250377814,1267.54214974,985.01694092,1000.26407672,625.49526189,533.537396,337.07381224,2894.91355952,660.35529628,489.32340775
69,0.0160371874375133,-15572.100782047382,109.00135668139285,1267.17720694,985.06063499,1018.61248783,615.59296046,535.77557963,533.64080405,2894.9135958,660.35535285,489.32338705
70,0.0160371874375133,-15564.088538087188,714.4409462643271,1267.24347542,985.05272772,1015.25101127,618.61910593,535.09055853,462.07273237,2894.91356107,660.35530261,489.32343175
71,0.0160371874375133,-15571.91598220675,169.03474679229197,1267.18378405,985.05985994,1018.2770828,615.9580963,535.69286331,524.31441923,2894.91364886,660.35530444,489.32336663
72,0.0160371874375133,-15570.820997782728,314.3283991236881,1267.19972278,985.05791352,1017.46720829,616.77075994,535.50888931,504.27449732,2894.91363506,660.35532511,489.32341001
73,0.0160371874375133,-15571.412453554709,249.93166243621152,1267.19262088,985.05885193,1017.82583043,616.4220668,535.58779064,512.75465164,2894.91353028,660.35531494,489.32339432
74,0.0160371874375133,-15571.31826000698,261.48792010366685,1267.19394173,985.05865223,1017.76138848,616.48598084,535.57333116,511.18851212,2894.91367286,660.35525853,489.32341147
75,0.0160371874375133,-15571.306266647121,262.9139313162516,1267.19415847,985.05863826,1017.75355579,616.49380036,535.57161422,510.99668866,2894.91355511,660.35532098,489.32338476
76,0.0160371874375133,-15571.306377577279,262.90078561968477,1267.1941137,985.05859999,1017.75351841,616.49375022,535.57156661,510.99840426,2894.91361886,660.35531381,489.32342686
77,0.020309176209047358,-15572.17958800579,66.13099103051525,1267.19174459,985.05888673,1017.84228106,615.55058049,535.78517682,534.29087254,2894.91358966,660.35524333,489.32339333
78,0.020309176209047358,822538.5305838026,6613099.103051525,1311.68172,995.670538,0.0676899449,674.974683,700.889755,0.0244387348,2942.91269,632.196414,466.732364
79,0.020309176209047358,-15572.177872215047,72.61515937437042,1267.19430973,985.05858513,1017.70717955,615.61445389,535.77069418,532.59802955,2894.91365689,660.35531266,489.32336143
80,0.020309176209047358,-15395.878637852773,3170.2752135713677,1268.36798701,984.91802004,958.75527656,630.66974686,532.37168669,260.19688537,2894.91361984,660.35529309,489.32340433
81,0.020309176209047358,-15572.160665976375,87.02405191731695,1267.20006155,985.05795538,1017.40728952,615.75520392,535.73885434,528.89245677,2894.91356876,660.35531324,489.32344207
82,0.020309176209047358,-15560.720800843337,638.9927945714778,1267.41909088,985.0316371,1006.11412925,620.14760434,534.74489062,427.26691145,2894.91359772,660.35529807,489.32337064
83,0.020309176209047358,-15572.025547256693,125.76156237500555,1267.21561655,985.05607545,1016.6024309,616.12522779,535.65506036,519.29820012,2894.91359785,660.35531915,489.32340952
84,0.020309176209047358,-15570.56299674886,265.1901119048512,1267.2712897,985.04936303,1013.72067851,617.36595153,535.37410354,488.62471905,2894.91369143,660.35531938,489.32340986
85,0.020309176209047358,-15571.538045550336,189.41868792475714,1267.24108162,985.0530235,1015.28371573,616.70849516,535.52291422,504.5994932,2894.91365558,660.35535054,489.32336915
86,0.020309176209047358,-15571.344260633936,207.37601784379487,1267.24822913,985.05218643,1014.91257686,616.8678052,535.4869264,500.67276903,2894.91349162,660.35530441,489.32340461
87,0.020309176209047358,-15571.358583389625,206.12053081286308,1267.24772774,985.05220336,1014.93859612,616.85676833,535.48938902,500.94432662,2894.91355849,660.35526687,489.32339771
