,lamb,fun,p0,p1,p2,p3,p4,p5,p6
0,0.01,-13342.748872845845,0.0002538622,1332.23352,945.422691,951.277598,549.298574,558.635045,612.621842
1,0.011937766417144363,-13342.748885836261,0.0127143692,1332.39207,945.54478,951.170958,549.678004,558.73858,612.127848
2,0.014251026703029978,-13342.748721561868,0.0202145534,1332.00925,945.690447,950.917184,549.313935,558.827227,611.90397
3,0.017012542798525893,-13342.748773625239,0.0120415127,1332.87896,945.447233,950.763889,549.950178,558.719697,612.483323
4,0.020309176209047358,-13342.748765517828,0.00177680625,1332.62231,945.257054,951.336188,549.611587,559.037538,612.020462
5,0.024244620170823284,-13342.748820442634,0.00750730902,1332.49276,945.275618,950.74343,549.913588,558.775816,612.377095
6,0.028942661247167517,-13342.748598142032,0.0212386941,1332.63072,945.591268,950.700281,549.412524,558.639046,611.715384
7,0.0345510729459222,-13342.74867968469,0.00146726713,1332.39691,945.720701,951.702162,549.415305,558.973605,611.783538
8,0.04124626382901352,-13342.748784588632,0.00589098598,1332.73691,945.750121,951.40791,549.462659,558.549249,612.092582
9,0.04923882631706739,-13342.748849908703,0.0182376887,1332.29287,945.726752,950.73218,549.355998,558.902595,612.342814
10,0.05878016072274912,-13342.749031219793,1.10870194,1332.25742,945.511285,950.544491,549.600343,558.698268,611.560443
11,0.07017038286703829,-13342.78316317351,37.14817052,1332.42102696,945.57278536,925.73996129,550.26496804,558.59370834,579.65606754
12,0.0837677640068292,-13342.888017036881,121.2378162,1333.17128861,945.4288048,849.36679651,550.91940988,558.32191296,497.59788537
13,0.1,-13342.748953132332,79.17447833,1332.31044,945.60992309,871.87928793,549.61921813,558.65358564,533.23845185
14,0.1193776641714437,-13342.748709041523,0.00602808946,1332.61723,945.368276,950.229511,549.644249,559.019907,612.121818
15,0.14251026703029984,-13342.748416790306,0.0116299573,1332.61107,945.019462,949.901152,549.683259,558.573982,611.937999
16,0.17012542798525893,-13342.748546357096,0.00609843873,1331.84712,945.269514,950.186999,549.342525,558.537496,612.379901
17,0.20309176209047358,-13342.746537511983,0.0132340367,1332.56597,946.336175,948.763764,549.743727,558.265674,610.761799
18,0.24244620170823283,-13342.748174142362,0.000697634588,1331.87214,945.515088,949.537259,549.667502,558.451015,611.482159
19,0.28942661247167517,-13342.742592244242,0.0943848711,1331.01424,945.426266,948.276704,548.724827,558.011543,611.704723
20,0.345510729459222,-13342.747257567771,0.0270293453,1331.96721,944.852416,950.501328,549.153993,558.948401,611.959987
21,0.41246263829013524,-13342.748194726113,0.000193704768,1332.30319,946.386399,950.599594,550.159268,559.116148,611.6207
22,0.49238826317067413,-13342.748088107517,0.00031596976,1331.98846,946.350785,950.065597,549.708634,558.270847,611.364854
23,0.5878016072274915,-13342.747972319527,0.00210495988,1331.13157,945.681467,950.134853,548.99754,559.296798,611.909855
24,0.701703828670383,-13342.748020621548,0.00104864152,1332.20058,945.847657,949.917452,549.40046,558.2236,611.238961
25,0.837677640068292,-13342.748292026345,0.000506295253,1331.5082,945.05753,950.369011,549.435148,559.10142,611.759423
26,1.0,-13342.748208755926,0.00503611746,1332.38213,945.863622,950.828832,548.868639,559.267336,611.766418
27,1.1937766417144369,-13342.748464165486,0.00514960461,1331.95419,945.914691,950.6501,549.026016,558.9629,612.221277
28,1.4251026703029992,-13342.748214401678,0.00313133429,1332.12453,944.6986,951.093784,549.482537,557.963548,612.678323
29,1.7012542798525891,-13342.7482406114,0.00531977116,1332.52794,945.798584,950.12349,549.218971,558.571874,611.617623
30,2.030917620904737,-13342.748637656976,0.00116480509,1332.34667,945.836844,950.398886,549.043529,558.905576,612.807628
31,2.424462017082328,-13342.748042885229,0.000841972177,1331.75518,945.239352,950.66203,548.331174,559.032199,612.331794
32,2.8942661247167516,-13342.747642118442,0.00150127174,1331.76833,946.634095,951.338503,548.9219,557.725306,612.661622
33,3.4551072945922217,-13342.74647385177,0.000655563121,1332.74211,945.798077,950.932832,550.182452,560.595261,613.319406
34,4.1246263829013525,-13342.747704984167,0.013221624,1331.19034,945.588459,951.178085,548.668293,558.38191,612.706778
35,4.923882631706742,-13342.748145927584,0.00271810939,1332.46786,944.589107,951.379641,548.773045,558.701564,612.874123
36,5.878016072274912,-13342.747661687592,0.00895981621,1331.97905,945.395041,950.48067,548.377737,558.705431,611.572567
37,7.01703828670383,-13342.748520099713,0.00145663018,1332.94372,944.889157,951.778469,549.439099,558.62592,612.887336
38,8.376776400682925,-13342.74813823547,0.031802682,1332.77171,945.230002,951.299847,549.586571,558.078492,612.761715
39,10.0,-13342.748037612724,0.00811293921,1331.19929,946.536545,951.162612,548.858232,558.964838,612.525058
40,0.01,-13342.748953668308,0.000253862199925875,1332.33097622,945.58356643,951.06594872,549.61957918,558.68757399,612.43382918
41,0.01,-13342.696473589496,25.3862199925875,1332.33106458,945.58349995,951.06285017,549.66208188,558.67705595,611.2718773
42,0.01,-13342.748953668308,0.000253862199925875,1332.33097622,945.58356643,951.06594872,549.61957918,558.68757399,612.43382918
43,0.01,-13342.640224150944,50.772439985175,1332.33115022,945.58348181,951.05984025,549.70404693,558.6665888,610.12682386
44,0.01,-13342.748953668308,0.000253862199925875,1332.33097622,945.58356643,951.06594872,549.61957918,558.68757399,612.43382918
45,0.01,-13342.516683751935,101.54487997035,1332.33124208,945.58353694,951.05372547,549.78648411,558.64616315,607.88534272
46,0.01,-13342.748953668308,0.000253862199925875,1332.33097622,945.58356643,951.06594872,549.61957918,558.68757399,612.43382918
47,0.01,-13342.227189705707,203.0897599407,1332.3315312,945.58344032,951.04150371,549.94577475,558.60653071,603.58591848
48,0.01,-13342.748953668308,0.000253862199925875,1332.33097622,945.58356643,951.06594872,549.61957918,558.68757399,612.43382918
49,0.01,-13341.491208989088,406.1795198814,1332.332055,945.58339943,951.01714007,550.24433355,558.53227704,595.64134529
50,0.01,-13342.022832463586,265.40826546133417,1332.33170843,945.58344655,951.03401411,550.04013698,558.58309856,601.06012008
51,0.01,-13341.934141768808,290.7548742003759,1332.33183292,945.58343434,951.03092275,550.07781287,558.57367972,600.05590755
52,0.01,-13341.927098382792,292.7298368206899,1332.33174558,945.58351982,951.03077349,550.08074541,558.5729298,599.97820972
53,0.01,-13341.927150651674,292.71520032884786,1332.33176327,945.58345089,951.03080966,550.08068605,558.57295478,599.97880467
54,0.011937766417144363,-13342.748924638861,0.012714369187922347,1332.33098922,945.58356463,951.06590784,549.61963784,558.68759831,612.43286964
55,0.011937766417144363,-13331.108443993306,1271.4369187922348,1332.34844713,945.58144762,950.29727861,552.33336567,558.01337428,543.327108
56,0.011937766417144363,-13342.481910178922,89.77339208132148,1332.33221712,945.58340609,951.01151767,549.87567803,558.62391806,605.41974865
57,0.011937766417144363,-13341.731242452199,250.85025463924154,1332.33440046,945.58316447,950.91390345,550.30159069,558.51809852,593.99450886
58,0.011937766417144363,-13341.95866482227,208.81839732731484,1332.33384636,945.58315501,950.93934236,550.19428084,558.54472164,596.84534723
59,0.011937766417144363,-13341.9284055791,214.64775449650037,1332.33387118,945.58317193,950.93579673,550.20933922,558.54099971,596.44467189
60,0.011937766417144363,-13341.927123376609,214.89300583986582,1332.3339308,945.58318692,950.9357294,550.21000752,558.54088001,596.42787452
61,0.011937766417144363,-13341.927179566323,214.88226118957283,1332.33389192,945.58321209,950.93566811,550.20992849,558.54086495,596.42861928
62,0.014251026703029978,-13342.748900623328,0.020214553407334135,1332.3310099,945.58348516,951.06593202,549.619732,558.68756421,612.43121067
63,0.014251026703029978,-13301.193766923649,2021.4553407334135,1332.43662805,945.57097858,946.35505526,555.17549544,557.30836097,480.23308805
64,0.014251026703029978,-13342.618570213655,40.003253599649604,1332.33308224,945.58332961,950.97145159,549.80287649,558.64200937,607.35337475
65,0.014251026703029978,-13341.373555963815,231.6549777483171,1332.34322549,945.58211233,950.51913316,550.60940051,558.44157043,585.66014836
66,0.014251026703029978,-13342.046765834697,146.466592370066,1332.3387165,945.58261546,950.72008349,550.26454392,558.52731815,594.80562711
67,0.014251026703029978,-13341.940357944153,161.6269507990928,1332.33947377,945.58252169,950.68420398,550.32746378,558.51165576,593.12378437
68,0.014251026703029978,-13341.9269060834,163.4852168013782,1332.33958693,945.58254428,950.67994889,550.33508631,558.50974724,592.91925044
69,0.014251026703029978,-13341.926965450692,163.47704254053713,1332.33956482,945.58252036,950.67992506,550.33504817,558.50976112,592.92012941
70,0.017012542798525893,-13342.748916776362,0.012041512682607891,1332.3309422,945.58355031,951.06583334,549.61967313,558.68755064,612.43153054
71,0.017012542798525893,-13313.034001536667,1204.151268260789,1332.52498968,945.5605067,942.29676582,555.18988499,557.30475464,478.18100234
72,0.017012542798525893,-13342.615613529819,33.318151429199666,1332.33643111,945.58289302,950.81839329,549.84322417,558.63204618,606.16282873
73,0.017012542798525893,-13341.3318987022,183.32414345547406,1332.36085137,945.58000563,949.70748987,550.77813406,558.39959302,580.84800343
74,0.017012542798525893,-13342.059295782992,113.78338372636567,1332.34957177,945.58133357,950.22174355,550.35852631,558.50389178,592.03262107
75,0.017012542798525893,-13341.943351677874,126.43003996572418,1332.35166161,945.58106468,950.12819305,550.43654707,558.48454655,589.93187111
76,0.017012542798525893,-13341.926930710148,128.15820125841364,1332.35188841,945.58106217,950.11530854,550.44714571,558.48192982,589.64719528
77,0.017012542798525893,-13341.92701196345,128.14968566233028,1332.35183747,945.58103183,950.11547776,550.44713044,558.48188003,589.64857386
