,lamb,fun,p0,p1,p2,p3,p4,p5,p6
0,0.01,-13373.882933678204,0.044417067,1277.73424,989.866498,978.336461,599.269513,494.315964,633.092314
1,0.011937766417144363,-13373.88266684264,0.000112789265,1278.51857,990.351173,979.138799,598.871767,495.007231,633.561342
2,0.014251026703029978,-13373.881330972481,0.196300025,1279.17493,989.115327,978.691042,598.980058,494.102195,633.549192
3,0.017012542798525893,-13373.882650305131,0.00794443119,1278.09678,988.991713,978.712722,599.888432,494.07854,632.76143
4,0.020309176209047358,-13373.880525373395,0.214339152,1278.08656,989.441613,978.309612,599.550406,493.904962,633.485694
5,0.024244620170823284,-13373.87987019615,0.044628657,1279.13674,989.620277,979.348983,599.127663,492.977901,631.786157
6,0.028942661247167517,-13373.8754280532,0.433999085,1277.97211,988.982236,978.462164,599.150439,494.964245,633.130217
7,0.0345510729459222,-13373.875884970097,0.344032631,1276.90597,989.987015,978.942359,598.511368,494.252458,633.721384
8,0.04124626382901352,-13373.880634592348,0.0982601301,1277.12143,989.655134,977.216361,599.023217,494.515374,633.14675
9,0.04923882631706739,-13373.882878654387,0.00556804096,1277.79049,990.195016,978.324274,598.98516,494.554631,633.131776
10,0.05878016072274912,-13373.881863459621,0.0339602058,1277.22785,989.336122,978.94998,599.117854,495.152573,632.421578
11,0.07017038286703829,-13373.881733133341,0.0253012316,1278.59204,990.634369,979.245234,599.757382,495.024827,633.302633
12,0.0837677640068292,-13373.88287591977,0.0174521024,1277.97951,989.628483,978.681016,598.928613,494.362558,632.798044
13,0.1,-13373.883254174707,97.47743292,1277.78849093,989.4747071,881.26403032,599.09983788,494.47912136,536.07841393
14,0.1193776641714437,-13376.4187346398,442.15479883,1272.69908795,990.05991126,473.21900408,589.84145158,496.45139804,175.1982961
15,0.14251026703029984,-13376.3871848263,204.03100352,1271.7458011,990.18386238,721.17181779,588.87947168,496.78750412,417.59284575
16,0.17012542798525893,-13376.274648593524,124.54922228,1270.85522328,990.45837754,810.09373737,588.05702874,496.86759972,500.6754578
17,0.20309176209047358,-13376.09272827451,85.60796957,1269.89867909,990.42432133,857.98924599,587.38876566,497.12188528,543.11246057
18,0.24244620170823283,-13375.862587954536,62.86857944,1269.18360153,990.52756523,888.61934337,587.10039711,497.16342562,568.63523321
19,0.28942661247167517,-13375.611093216794,48.32081478,1268.49355013,990.56183871,909.95232458,586.7718201,497.11696607,585.54187587
20,0.345510729459222,-13375.365356862745,38.60622429,1267.81053338,990.71911075,925.10315462,586.65101788,497.28641264,597.21451166
21,0.41246263829013524,-13375.14750153949,31.92927506,1267.5163376,990.73202124,936.39919104,586.38612187,497.29581231,605.50305462
22,0.49238826317067413,-13374.97174230088,27.40387847,1266.71761201,990.90856405,944.82741835,586.05252191,497.34789318,611.4043076
23,0.5878016072274915,-13374.844296710224,24.49234903,1266.02281384,991.00058506,950.88947254,585.3699923,497.46963067,615.74377898
24,0.701703828670383,-13374.765319831775,22.85621381,1265.29279449,990.98662026,955.1216611,584.48112464,497.7348023,618.80545771
25,0.837677640068292,-13374.731154543133,22.36936819,1263.96543149,991.13534007,957.94819622,583.15030058,497.98127038,620.79422201
26,1.0,-13374.735840289424,22.79388451,1262.31523725,991.26255291,960.19686971,581.02270347,498.31774296,622.29110796
27,1.1937766417144369,-13374.771230929757,23.99129061,1260.33259534,991.33760857,961.74134317,578.53327658,498.70067782,623.53186798
28,1.4251026703029992,-13374.826632813805,25.88958212,1258.04701579,991.16939615,962.63695078,575.51794098,499.05858607,624.27150001
