,lamb,fun,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,0.01,-15478.074754283047,268.32601753,1299.01774744,986.60347145,930.25520815,628.37870049,481.68230001,597.09882354,2963.23281736,609.49801984,473.07305401
1,0.012663801734674034,-15478.293293602148,223.39734317,1298.95468395,986.5604802,929.69717539,628.87553742,481.52853649,587.95578269,2963.32141676,609.3463517,472.86900504
2,0.0160371874375133,-15478.391748683292,160.41152084,1299.07063368,986.6619645,929.13826825,629.12611536,481.43491076,582.19286717,2963.64793976,609.38634427,472.8221009
3,0.020309176209047358,-15478.353211779666,115.59478296,1299.14488354,986.72482395,927.86312508,629.25176388,481.45756869,578.48607512,2963.46169662,609.49799296,473.0057423
4,0.025719138090593445,-15478.21006719561,82.28032061,1299.23535593,986.71965961,925.62385439,629.28875819,481.41222295,578.02258311,2963.18638467,609.44165549,472.86407861
5,0.03257020655659783,-15478.0264627721,56.33772322,1299.16444671,986.71016027,923.31994245,629.00991176,481.53677402,580.93707611,2963.29468186,609.40892066,472.85096107
6,0.04124626382901352,-15477.870356144042,33.01905411,1299.27351798,986.66550505,922.21156231,628.59383411,481.6896302,589.05629955,2963.44385845,609.35191696,472.83848525
7,0.052233450742668434,-15477.792534552089,7.1642301,1299.05954697,986.69732927,926.86968515,627.97930742,481.72610349,605.44762682,2963.64023707,609.42706208,472.86575139
8,0.06614740641230149,-15477.789201890999,0.0221279013,1299.03955,986.789572,929.741404,627.570103,482.129592,610.628777,2963.87518,609.545754,472.949451
9,0.08376776400682916,-15477.789147222626,0.00237399841,1298.56146,986.829932,929.4932,628.047562,481.611229,610.420223,2963.77783,609.562748,472.830151
10,0.10608183551394483,-15478.17028671629,377.72787006,1297.58693901,986.64182158,531.70404607,625.16299878,482.3545659,230.15989175,2963.66858254,609.33687101,472.71501421
11,0.13433993325989002,-15478.59392444963,140.05698541,1295.06083571,987.17955246,754.68409764,621.84837081,483.15797794,467.12877375,2963.47608269,609.32414987,472.90501141
12,0.17012542798525893,-15478.886197462147,82.89553117,1293.17019395,987.45402777,814.3193884,619.98057686,483.47298756,526.64629188,2963.18171821,609.54466144,472.93058003
13,0.21544346900318834,-15479.002922739099,56.5325301,1291.81312338,987.40218173,846.23189846,618.5294297,483.78606427,555.35050575,2963.07092356,609.51151103,472.95577047
14,0.2728333376486768,-15478.87950467209,39.58198756,1290.80090353,987.56141874,870.32268006,617.80698915,483.98615295,574.41906044,2963.35151919,609.32780432,472.86822307
15,0.34551072945922184,-15478.547264694442,26.43926472,1291.04257306,987.56080953,891.15558572,618.26096567,483.87469987,588.35996827,2963.51330477,609.3280733,472.87295225
16,0.43754793750741844,-15478.131976813162,15.12843698,1292.79554484,987.46292351,909.10525525,620.64363213,483.34797234,599.36080729,2963.4270764,609.50479565,473.02304197
17,0.5541020330009492,-15477.827729991688,4.51719789,1296.61261309,986.97892325,924.32219256,624.94596265,482.48211572,608.12783528,2963.44466794,609.3693025,472.92756805
18,0.7017038286703826,-15477.78870847044,0.000675398775,1298.53774,986.434151,928.625135,627.049077,482.113,610.598757,2962.22002,609.631012,472.997951
19,0.8886238162743403,-15423.925993908535,0.124657206,1416.45757,1190.61275,887.445551,670.295459,533.99966,630.436646,2487.77893,750.998076,677.019244
20,1.1253355826007645,-15477.773468565141,0.0441088439,1299.5423,984.453489,925.655695,626.15216,479.466415,612.570213,2963.79187,609.060575,472.037215
21,1.4251026703029979,-15477.674494719557,0.55571837,1296.82547,987.651785,934.491762,626.667163,482.0356,611.017212,2962.91872,610.45568,471.787672
22,1.8047217668271702,-15477.755798738304,0.109877211,1296.33166,987.492017,933.700157,626.825005,480.86471,611.448802,2963.53067,610.405455,474.612187
23,2.2854638641349907,-15477.786327131573,0.00120079772,1299.51956,986.735009,933.180558,628.129497,482.821744,610.903021,2962.54158,610.056427,473.489637
24,2.8942661247167516,-15477.751720096117,0.102808875,1299.77608,987.441248,933.073408,625.405373,482.051495,611.827362,2962.65534,608.874985,474.260247
25,3.665241237079626,-15477.743899964757,0.132506648,1298.93324,987.555738,930.043479,625.879561,481.663822,610.902124,2961.97471,609.763078,472.48137
26,4.6415888336127775,-15477.600077293162,0.542663335,1298.01837,988.517509,937.3263,628.303524,480.491582,612.60448,2962.19357,610.483054,471.652008
27,5.878016072274912,-15477.785735325047,0.00321603604,1299.0801,987.346046,932.357443,626.464104,481.963055,610.392033,2964.31353,607.991555,472.473362
28,7.443803013251689,-15477.74981007966,0.0907074719,1299.7209,985.288291,928.528974,629.621679,478.430824,606.762878,2961.21118,609.691878,471.344489
