,lamb,fun,p0,p1,p2,p3
0,0.01,-4363.896343865566,0.000618717938,549.650601,558.806137,612.710375
1,0.011937766417144363,-4363.896190643212,0.0434325192,549.171792,558.618376,612.457139
2,0.014251026703029978,-4363.89635439279,0.00465634206,549.708486,558.76357,612.272144
3,0.017012542798525893,-4363.896345794847,6.0198143e-05,549.834994,558.454566,612.438928
4,0.020309176209047358,-4363.896354495505,0.00961198116,549.643702,558.694302,612.597119
5,0.024244620170823284,-4363.896358203696,0.000658043962,549.493813,558.54559,612.394667
6,0.028942661247167517,-4363.896370399409,0.00202223169,549.549517,558.738612,612.308312
7,0.0345510729459222,-4363.8963794417705,0.000567267907,549.604008,558.70761,612.388815
8,0.04124626382901352,-4363.898854027505,6.06185242,549.74809941,558.66100781,608.59939152
9,0.04923882631706739,-4363.911391629328,16.24847894,549.95557467,558.6216939,600.7300317
10,0.05878016072274912,-4363.943099544204,34.22172821,550.27072924,558.51584506,584.91460308
11,0.07017038286703829,-4364.00552748116,71.04284279,550.79603249,558.38896341,549.8976251
12,0.0837677640068292,-4364.108631087349,180.637759,551.53445429,558.21287661,441.55007075
13,0.1,-4363.8963803644265,36.8723588,549.61567505,558.70205654,575.56113202
14,0.1193776641714437,-4363.896283111588,0.0094946778,549.764504,558.844228,612.119172
15,0.14251026703029984,-4363.896116372411,0.00524762881,549.163889,558.582436,611.92143
16,0.17012542798525893,-4363.8959232148045,0.0058155444,549.681503,558.77328,611.435136
17,0.20309176209047358,-4363.894695398567,0.0558523191,550.205026,558.743972,611.871008
18,0.24244620170823283,-4363.88910355404,0.0419543824,550.062794,560.932435,609.382787
19,0.28942661247167517,-4363.891703526113,0.0743438869,548.278719,557.748938,612.856995
20,0.345510729459222,-4363.895396980728,0.010260808,549.407512,559.051501,611.359932
21,0.41246263829013524,-4363.890287230895,0.0966742884,548.545742,558.360619,612.001096
22,0.49238826317067413,-4363.892482288249,0.0383521324,548.619624,559.458053,610.787411
23,0.5878016072274915,-4363.894282441689,0.0154713282,550.069122,559.956293,612.916989
24,0.701703828670383,-4363.896105313405,0.00372727964,549.54579,558.874137,612.400676
25,0.837677640068292,-4363.894629094262,0.000257727775,548.053419,558.24567,611.488017
26,1.0,-4363.890349898193,0.0562535765,551.6081,557.572511,611.799442
27,1.1937766417144369,-4363.888307458676,0.00550195027,545.697632,559.827158,614.525274
28,1.4251026703029992,-4363.8902586586055,0.0785636828,548.786113,559.012487,613.674618
29,1.7012542798525891,-4363.891733023921,0.0592189471,548.504902,559.806568,612.049623
30,2.030917620904737,-4363.89251449076,0.0550047818,548.38144,558.624134,612.388535
31,2.424462017082328,-4363.88917384667,0.0669490032,549.678033,560.6153,614.758782
32,2.8942661247167516,-4363.892613990569,0.0805487588,549.147168,559.084993,612.219322
33,3.4551072945922217,-4363.89513819636,0.00819002698,548.860809,557.777572,613.078103
