,lamb,fun,p0,p1,p2,p3
0,0.31622776601683794,-2179.64463894906,0.111495463,2893.7469,661.487218,488.897575
1,0.3665241237079628,-2179.635992579473,0.326296099,2894.89424,660.51373,488.606158
2,0.4248201698162612,-2179.631782489834,0.298318863,2893.45024,661.856277,490.163382
3,0.4923882631706739,-2179.589076878715,0.858953486,2894.92767,660.38594,489.323184
4,0.5707031326057167,-2179.634784013808,0.146133905,2894.65441,660.868254,489.322676
5,0.6614740641230149,-2179.6416697910568,0.0542310879,2894.87201,659.709217,489.709552
6,0.7666822074546215,-2179.5605236777583,0.672424662,2894.05775,660.258308,490.043177
7,0.8886238162743403,-2179.643392868603,0.0267835695,2896.45531,659.318143,488.817363
8,1.0299603658099898,-2179.6420677654905,0.0292665489,2895.93106,659.622906,490.848074
9,1.1937766417144364,-2179.639749826452,0.00917133734,2893.48288,663.001878,492.809639
10,1.3836480680324594,-2179.645980826711,0.0114147218,2894.41997,661.061737,489.390746
11,1.60371874375133,-2179.642438517655,0.0392531811,2896.6642,660.005644,489.950364
12,1.8587918911465635,-2179.6453715182606,0.00914085926,2895.39928,662.625059,489.394854
13,2.1544346900318834,-2179.6476747783254,0.000899038887,2894.15626,660.208665,489.249091
14,2.4970997860065407,-2179.6477738679705,0.000111319061,2894.54361,660.350109,489.289192
15,2.8942661247167503,-2179.6544619435754,0.819642512,2894.24932,660.405151,489.356309
16,3.354602185954043,-2179.7036108867765,2.29054745,2892.95386,660.493683,489.413815
17,3.8881551803080874,-2179.774874483857,3.39617187,2891.87651056,660.57005754,489.49115097
18,4.506570337745473,-2179.850021841456,4.27113934,2890.93580246,660.68466427,489.51333189
19,5.223345074266841,-2179.9207375222486,5.0135051,2890.06879061,660.69494195,489.55466398
20,6.054123584037268,-2179.9847491430637,5.70627951,2889.28237885,660.74686269,489.57331969
21,7.017038286703826,-2180.0431062354055,6.41589623,2888.44356788,660.81926177,489.62801241
22,8.133105582266927,-2180.0982926171146,7.19385242,2887.56834189,660.90384509,489.68290124
23,9.42668455117885,-2180.153009123089,8.095333,2886.50251938,660.97859073,489.7424095
24,10.92600861117378,-2180.209466657473,9.15269272,2885.21950386,661.03699019,489.81652437
25,12.663801734674028,-2180.2690525668622,10.42790408,2883.73458327,661.16493234,489.8955988
26,14.67799267622069,-2180.332243112057,11.93862852,2881.99427969,661.29423705,489.95457987
27,17.01254279852588,-2180.3986951083125,13.72978497,2879.87695793,661.42163687,490.06449807
28,19.718405565126417,-2180.467473946045,15.81184878,2877.50610358,661.62895909,490.19161543
29,22.854638641349897,-2180.537383658569,18.26654778,2874.71323791,661.8252672,490.30945395
30,26.48969287610527,-2180.6073506060056,21.09927838,2871.38989498,662.03138483,490.49567492
31,30.702906297578483,-2180.676757659392,24.39809196,2867.57892923,662.3171254,490.64808326
32,35.58623573050966,-2180.7455916863373,28.23838203,2863.25933648,662.51657899,490.86194446
33,41.24626382901348,-2180.8142803008327,32.73409311,2858.26260478,662.70977354,491.05658733
34,47.806525330073804,-2180.8831708148527,38.06522233,2852.42985304,662.90469821,491.28384826
35,55.41020330009492,-2180.951715406084,44.28646922,2845.96614989,662.93985183,491.40810864
36,64.22325422229356,-2181.017548883931,51.55824083,2838.82975427,662.80236556,491.43049728
37,74.43803013251681,-2181.0757665873407,59.94545538,2830.95468067,662.50703887,491.2499985
38,86.27747685955866,-2181.118690801502,69.31860951,2822.85394707,662.01011962,490.7996018
39,100.0,-2181.136404376676,79.45230429,2814.92271752,661.24591456,489.94241086
40,0.31622776601683794,-1915.600977648589,11149.54630214181,2894.85111633,660.35984728,489.32645043
41,0.31622776601683794,-2178.822877632913,34.83239211054525,2894.91345844,660.35532235,489.32343351
42,0.31622776601683794,-2178.8228363874023,34.83413373015178,2894.91344701,660.35528228,489.32341481
43,0.3665241237079628,-1021.2219879532354,32629.609934303917,2893.90809741,660.4283956,489.37257602
44,0.3665241237079628,-2178.8142767391428,23.47899106108273,2894.91270289,660.35536262,489.32348733
45,0.3665241237079628,-2178.8142305794727,23.480291322644653,2894.91260299,660.35537529,489.32346688
46,0.4248201698162612,-673.38889039061,29831.886335303952,2891.81481038,660.58048145,489.47496758
47,0.4248201698162612,-2178.810484298723,16.592388867316178,2894.91016342,660.35560965,489.32356961
48,0.4248201698162612,-2178.8100204897014,16.601579913036847,2894.91017426,660.35558783,489.32355702
49,0.4248201698162612,-2178.810062378094,16.600749834040194,2894.91020472,660.35558095,489.32354838
50,0.4923882631706739,3714.947134717283,85895.34863974732,2885.77937053,661.01928445,489.77020049
51,0.4923882631706739,-2178.770590978248,12.833577310552824,2894.90260456,660.35615492,489.32393031
52,0.4923882631706739,-2178.767314864296,12.881507303027536,2894.90250003,660.35615571,489.32398393
53,0.4923882631706739,-2178.7673588881785,12.880863227661385,2894.90246852,660.35609637,489.32395055
